Department,CourseNumber,Prerequisites
CA,389,30 units of CA (or FPA) courses.
CA,390,CA (or FPA) 231 or approval of instructor.
CA,393,CA (or FPA) 390 or approval of instructor.
CA,400,"60 units plus a minimum standing of completion of second year in any of the programs offered in the School for the Contemporary Arts, and prior approval."
CA,401,"60 units plus a minimum standing of completion of second year in any of the programs offered in the School for the Contemporary Arts, and prior approval."
CA,405,30 units in CA.
CA,406,60 units including CA 304 and permission of Internship Coordinator.
CA,407,60 units including CA 304 and permission of Internship Coordinator.
CA,408,A minimum of 30 units and approval of Field School Director.
CA,409,A minimum of 30 units and approval of Field School Director.
CA,416,CA (or FPA) 316 (or 337) or CA (or FPA) 318 (or 335).
CA,420,CA (or FPA) 285 and CA (or FPA) 321.
CA,421,"CA (or FPA) 124, 285, 324 and (326 or 327)."
CA,424,CA 324.
CA,425,"CA 220, 324."
CA,427,CA (or FPA) 323 or prior approval.
CA,428,CA (or FPA) 427 or prior approval.
CA,430,"CA (or FPA) 149, 186, 231, 285 and 10 units in film or cinema studies (CA (or FPA) 135, 136, 137, 186, 235, 236, 216 (or 237), 318 (or 335), 316 (or 337), 416 (or 436)) plus prior approval."
CA,432,CA (or FPA) 430.
CA,440,CA 240 or permission of instructor.
CA,445,CA 346.
CA,446,CA 445.
CA,449,CA 241 or permission of instructor.
CA,451,"CA 253, CA 355, CA 356, CA 357W."
CA,452,CA 451.
CA,460,"CA (or FPA) 361, 367 and status as an approved major in visual art."
CA,461,CA (or FPA) 460 and status as an approved major in visual art.
CA,471,CA (or FPA) 370 or 371 and prior approval.
CA,485,"One CA studio course at the upper level, a CGPA of 3.0 and an overall average of 3.5 in CA courses."
CA,489,45 CA (or FPA) units.
CENV,302,Admission into Environment Co-operative Education Program.
CENV,303,Readmission into Environment Co-operative Education Program.
CENV,402,Readmission into Environment Co-operative Education Program.
CENV,403,Readmission into Environment Co-operative Education Program.
CENV,404,Readmission into Environment Co-operative Education Program.
CHEM,110,"Pre-Calculus 12 (or equivalent), MATH 100 (may be taken concurrently), or permission of the department. No previous training in chemistry is required for this course."
CHEM,111,"Pre-Calculus 12 (or equivalent), MATH 100 (may be taken concurrently), or permission of the department. No previous training in chemistry is required for this course."
CHEM,120,"Chemistry 12 with a minimum grade of B, or CHEM 110 or 111 with a minimum grade of C-."
CHEM,121,"Chemistry 12 with a minimum grade of B, or CHEM 109 or 111 with a minimum grade of C-."
CHEM,122,CHEM 120 or 121 with a minimum grade of C-.
CHEM,125,"Chemistry 12 with a minimum grade of C, or CHEM 109 or CHEM 111 with a minimum grade of C-. Corequisite: CHEM 120."
CHEM,126,CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122.
CHEM,180,CHEM 121 with a minimum grade of C-.
CHEM,210,CHEM 122 with a minimum grade of C-.
CHEM,216,"CHEM 122 and CHEM 126, both with a minimum grade of C-. Corequisite: CHEM 210."
CHEM,230,CHEM 122 with a minimum grade of C-. Students who expect to take further courses in inorganic chemistry should take CHEM 230 concurrently with CHEM 236W.
CHEM,260,"CHEM 122, MATH 152, and PHYS 121, 126 or 141 (or PHYS 102 with a minimum grade of B), all with a minimum grade of C-. Recommended: MATH 232."
CHEM,266,CHEM 260 with a minimum grade of C-.
CHEM,280,CHEM 120 or CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122.
CHEM,281,CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122.
CHEM,282,CHEM 281 with a minimum grade of C-.
CHEM,283,CHEM 281 with a minimum grade of C-.
CHEM,284,"CHEM 282 with a minimum of C+, or permission of the Department."
CHEM,285,"CHEM 120 and CHEM 125, both with a minimum grade of C-, or CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122 and CHEM 280."
CHEM,286,CHEM 281 with a minimum grade of C-. Corequisite: CHEM 282 or 283.
CHEM,296,"30 units, including five units of 2nd year CHEM courses. A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor."
CHEM,306,"Completion of 28 units in a science program, including first-year calculus, chemistry and physics. Minimum CGPA 2.67 (or permission of co-op co-ordinator)."
CHEM,307,CHEM 306 and completion of 42 units toward a BSc degree. Minimum CGPA 2.67 (or permission of co-op co-ordinator).
CHEM,316,"CHEM 210, 216, and 260, all with a minimum grade of C-, or permission of the department."
CHEM,317,CHEM 316 with a minimum grade of C-.
CHEM,332,"CHEM 230, 236W and 260, all with a minimum grade of C-, or permission of the Department."
CHEM,336,CHEM 236W with a minimum grade of C-. Corequisite: CHEM 332.
CHEM,340,"Completion of 60 units in a science or applied science program, including first year chemistry, physics and calculus. CHEM 230 is strongly recommended."
CHEM,360,CHEM 260 with a minimum grade of C-. Recommended: MATH 251.
CHEM,364,"CHEM 260 or PHYS 285, MATH 232, and MATH 251, all with a minimum grade of C-. Recommended: MATH 260 or MATH 310."
CHEM,372,"CHEM 281 and CHEM 360, both with a minimum grade of C-."
CHEM,380,"(CHEM 282 or 283 or 284) and CHEM 286, both with a minimum grade of C-, or permission of the department."
CHEM,381,CHEM 380 with a minimum grade of C-.
CHEM,391,"CHEM 230 and 282 (or 283), both with a minimum grade of C-, or permission of the department."
CHEM,396,"50 units, including one 3rd year CHEM core course (CHEM 316, 332, 336, 360, 366, 380 or NUSC 341). A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor."
CHEM,406,CHEM 307 and completion of 56 units toward a BSc degree. Minimum CGPA of 2.67 (or permission of co-op co-ordinator).
CHEM,407,CHEM 406. Minimum CGPA of 2.67 (or permission of co-op co-ordinator).
CHEM,408,CHEM 407.
CHEM,419,CHEM 316 with a minimum grade of C-.
CHEM,432,CHEM 332 with a minimum grade of C-.
CHEM,439,CHEM 332 with a minimum grade of C-.
CHEM,440,CHEM 340 with a minimum grade of C-.
CHEM,442,"CHEM 282 or 283, with a minimum grade of C-."
CHEM,449,"CHEM 210, 260, 283 (or 284), and 12 units of upper division CHEM, all with a minimum grade of C-; or permission of the department."
CHEM,452,"CHEM 380 and MBB 222, both with a minimum grade of C-, or permission of the Department."
CHEM,459,"CHEM 380 with a minimum grade of C-, or permission of the instructor."
CHEM,462,"CHEM 364 or PHYS 385, with a minimum grade of C-."
CHEM,481,Permission of the Department; knowledge of chemistry at an advanced level. Normally taken after completion of 300-level course requirements.
CHEM,482,Permission of the Department. Normally taken during the fourth year of study.
CHEM,483,CHEM 481 and permission of the Department. This course cannot be counted towards the 400-level CHEM unit requirement for the Chemistry Majors program.
CHEM,484,Permission of the Department; knowledge of chemistry at an advanced level. Normally taken after completion of 300-level course requirements.
CHIN,110,CHIN 100 or equivalent.
CHIN,190,"This course is for students of Chinese origin who have native or near native speaking ability in Chinese (Mandarin or other dialects), but limited knowledge of written Chinese."
CHIN,191,"CHIN 190 or equivalent. This course is for students of Chinese origin who have near native speaking ability in Chinese (Mandarin or other dialects), but limited knowledge of written Chinese."
CHIN,200,CHIN 110 (or CHIN 101) or equivalent.
CHIN,290,"CHIN 191 or equivalent. This course is for students of Chinese origin who have near native speaking ability in Chinese (Mandarin or other dialects), but basic knowledge of written Chinese."
CHIN,291,"CHIN 290 or equivalent. This course is for students of Chinese origin who have near native speaking ability in Chinese (Mandarin or other dialects), but basic knowledge of written Chinese."
CHIN,330,CHIN 291 or permission of the instructor.
CHIN,390,CHIN 291 or permission of the instructor.
CHIN,460,"CHIN 330, CHIN 390 or equivalent."
CMNS,110,
CMNS,130,
CMNS,202,Nine CMNS units with a minimum grade of C-.
CMNS,210,Nine CMNS units with a minimum grade of C-.
CMNS,215,Nine CMNS units with a minimum grade of C-.
CMNS,221,Nine CMNS units with a minimum grade of C-.
CMNS,226,Nine CMNS units with a minimum grade of C-. CMNS 220 recommended.
CMNS,230,Nine CMNS units with a minimum grade of C-.
CMNS,235,Nine CMNS units with a minimum grade of C-.
CMNS,240,Nine CMNS units with a minimum grade of C-.
CMNS,258,
CMNS,311,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.
CMNS,312,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.
CMNS,313,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.
CMNS,314,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.
CMNS,315,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.
CMNS,316,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.
CMNS,353,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.
CMNS,362,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.
CMNS,395,Acceptance in the co-operative education program.
CMNS,396,CMNS 395.
CMNS,410,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.
CMNS,424,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.
CMNS,425,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.
CMNS,426,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.
CMNS,431,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.
CMNS,432,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.
CMNS,437,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.
CMNS,440,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.
CMNS,443,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.
CMNS,445,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.
CMNS,446,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.
CMNS,452,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.
CMNS,453,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.
CMNS,461,75 units including CMNS 460 with a minimum grade of C-.
CMNS,479,Two upper division CMNS courses with a minimum grade of C- and permission of the instructor.
CMNS,480,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.
CMNS,481,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.
CMNS,482,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.
CMNS,486,Depends on topic; published before enrollment.
CMNS,487,Depends on topic; published before enrollment.
CMNS,488,Depends on topic; published before enrollment.
CMNS,489,75 units and permission of the school.
CMNS,494,CMNS 396.
CMNS,495,CMNS 494.
CMNS,496,CMNS 495.
CMNS,497,Students accepted into honours program only.
CMNS,498,Successful completion of CMNS 497 with grade of B or higher.
CMPT,120,BC Math 12 or equivalent is recommended.
CMPT,125,"CMPT 120 or CMPT 130, with a minimum grade of C-."
CMPT,130,"BC Math 12 (or equivalent, or any of MATH 100, 150, 151, 154, or 157, with a minimum grade of C-)."
CMPT,135,CMPT 130 with a minimum grade of C-.
CMPT,201,"(CMPT 125 or CMPT 135) and MACM 101, both with a minimum grade of C-."
CMPT,210,"MACM 101, MATH 152, CMPT 125 or CMPT 135, and (MATH 240 or MATH 232), all with a minimum grade of C-."
CMPT,213,CMPT 225 with a minimum grade of C-.
CMPT,225,"(MACM 101 and (CMPT 125, CMPT 129 or CMPT 135)) or (ENSC 251 and ENSC 252), all with a minimum grade of C-."
CMPT,263,"CMPT 125 or CMPT 135, with a minimum grade of C-."
CMPT,272,"CMPT 120 or CMPT 130 or CMPT 128, with a minimum grade of C-."
CMPT,276,"One W course, CMPT 225, (MACM 101 or (ENSC 251 and ENSC 252)) and (MATH 151 or MATH 150), all with a minimum grade of C-. MATH 154 or MATH 157 with at least a B+ may be substituted for MATH 151 or MATH 150."
CMPT,295,"Either (MACM 101 and (CMPT 125 or CMPT 135)) or (MATH 151 and CMPT 102 for students in an Applied Physics program), all with a minimum grade of C-."
CMPT,300,"CMPT 225 and (CMPT 295 or ENSC 254), all with a minimum grade of C-."
CMPT,303,"CMPT 225, (CMPT 295 or ENSC 254), and (CMPT 201 or ENSC 351), all with a minimum grade of C-."
CMPT,305,"CMPT 225, (MACM 101 or (ENSC 251 and ENSC 252)) and (STAT 270 or STAT 271), all with a minimum grade of C-."
CMPT,307,"CMPT 225, (MACM 201 or CMPT 210), (MATH 150 or MATH 151), and (MATH 232 or MATH 240), all with a minimum grade of C-. MATH 154 or MATH 157 with a grade of at least B+ may be substituted for MATH 150 or MATH 151."
CMPT,310,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-."
CMPT,318,CMPT 225 with a minimum grade of C-. Additional prerequisites to be determined by the instructor subject to approval by the undergraduate program chair.
CMPT,340,"Completion of 60 units including one of CMPT 125, 126, 128, 135, with a minimum grade of C- or CMPT 102 with a grade of B or higher."
CMPT,353,"CMPT 225 and (BUS 232, STAT 201, STAT 203, STAT 205, STAT 270, STAT 271, ENSC 280, MSE 210, or SEE 241), with a minimum grade of C-."
CMPT,354,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-."
CMPT,361,"CMPT 225 and MATH 232 or 240, all with a minimum grade of C-."
CMPT,362,CMPT 225 with a minimum grade of C-.
CMPT,363,"CMPT 225 and CMPT 263, both with a minimum grade of C-."
CMPT,365,CMPT 225 with a minimum grade of C-.
CMPT,371,"CMPT 225 and (MATH 151 or MATH 150), with a minimum grade of C-. MATH 154 or MATH 157 with a grade of at least B+ may be substituted for MATH 151 (MATH 150)."
CMPT,372,"CMPT 272 and CMPT 225, both with a minimum grade of C-."
CMPT,373,"CMPT 276 or 275, with a minimum grade of C-."
CMPT,379,"(MACM 201 or CMPT 210), (CMPT 295 or ENSC 215) and CMPT 225, all with a minimum grade of C-."
CMPT,383,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-."
CMPT,384,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-."
CMPT,403,"CMPT 201 or CMPT 300, with a minimum grade of C-."
CMPT,404,(MACM 201 or CMPT 210) with a minimum grade of C-. CMPT 307 and 308 are recommended.
CMPT,405,CMPT 307 with a minimum grade of C-.
CMPT,409,CMPT 307 with a minimum grade of C-.
CMPT,410,"CMPT 310 and MACM 316, both with a minimum grade of C-."
CMPT,412,"CMPT 361 and MATH 152, both with a minimum grade of C-."
CMPT,413,"Completion of nine units in Computing Science upper division courses or, in exceptional cases, permission of the instructor."
CMPT,415,Permission of Instructor and School.
CMPT,416,Permission of the department.
CMPT,417,CMPT 225 with a minimum grade of C-.
CMPT,419,
CMPT,420,"CMPT 410 or CMPT 419 (Machine Learning), with a minimum grade of C-."
CMPT,426,"Students must complete Bridging Online (visit www.sfu.ca/coop/bol for further details) at least two terms before their anticipated co-op placement. Students must then enroll with the co-op program by the second week of the term preceding the work term. Normally, students will have completed a minimum of 45 units by the end of the term of application, CMPT 275 or 276, and have a minimum CGPA of 2.50."
CMPT,427,"CMPT 426, CGPA of 2.50."
CMPT,428,"CMPT 427, CGPA of 2.50."
CMPT,429,"CMPT 428, CGPA of 2.50."
CMPT,430,"CMPT 429, CGPA of 2.50."
CMPT,431,"(CMPT 201 or CMPT 300) and CMPT 371, both with a minimum grade of C-."
CMPT,433,"(CMPT 201 or CMPT 300) and CMPT 295, with a minimum grade of C-."
CMPT,441,CMPT 307 with a minimum grade of C-.
CMPT,450,CMPT 295 with a minimum grade of C-.
CMPT,454,"(CMPT 201 or CMPT 300) and CMPT 354, with a minimum grade of C-."
CMPT,459,CMPT 354 with a minimum grade of C-.
CMPT,461,CMPT 361 with a minimum grade of C-.
CMPT,464,"CMPT 361, MACM 316, both with a minimum grade of C-."
CMPT,466,"CMPT 361 and MACM 316, with a minimum grade of C- or permission of the instructor."
CMPT,469,CMPT 361 with a minimum grade of C-.
CMPT,471,"CMPT 300 and 371, with a minimum grade of C-."
CMPT,473,(CMPT 275 or CMPT 276) with a minimum grade of C- and 15 upper division CMPT units.
CMPT,474,CMPT 371 with a minimum grade of C-.
CMPT,475,"CMPT 275 or CMPT 276, (MACM 201 or CMPT 210) , all with a minimum grade of C- and 15 units of upper division courses. Recommended: Co-op experience."
CMPT,476,"MATH 232 or MATH 240, with a minimum grade of C-."
CMPT,477,"CMPT 275 or 276, with a minimum grade of C-."
CMPT,478,"CMPT 476 or PHYS 416, with a minimum grade of C-."
CMPT,479,"CMPT 201 or CMPT 300, with a minimum grade of C-."
CMPT,489,CMPT 383 with a minimum grade of C-.
CMPT,493,"CMPT 275 or CMPT 276, at least 80 units, CGPA and UDGPA over 3.0, enrolled in any CS major program. Participation in the practicum is competitive and an application must be submitted to the Undergraduate Chair by a defined due date announced each term."
CMPT,494,Students must have completed at least 15 units of upper division CMPT courses. Successful Capstone Project Proposal.
CMPT,495,CMPT 494 with a minimum grade of C-. CMPT 495 must be taken in the term immediately following the successful completion of CMPT 494 and must be for the same project and faculty supervisor.
CMPT,496,"Students must have completed 90 units, including 15 units of upper division CMPT courses, and have a GPA of at least 3.00. The proposal must be submitted to the undergraduate chair at least 15 days in advance of the term. The proposal must be signed by the supervisor(s) and the undergraduate chair."
CMPT,497,Submission of a satisfactory capstone project proposal.
CMPT,498,"Students must have completed 90 units, including 15 units of upper division CMPT courses, and have a GPA of at least 3.00. The proposal must be submitted to the Undergraduate Chair at least 15 days in advance of the term. The proposal must be signed by the supervisor(s) and the undergraduate chair."
COGS,110,
COGS,200,COGS 100.
COGS,300,60 credits.
COGS,310,COGS 100 and 200 (or permission of the instructor).
COGS,315,"One of: PHIL 110, 210, 310, 314, MACM 101, BUEC 232 or STAT 270."
COGS,490,Approval of cognitive science steering committee after completion of at least 7 upper division courses within the Cognitive Science Honours program requirements.
CRIM,101,
CRIM,103,PSYC 100 and 102 are recommended.
CRIM,104,SA 150 is recommended.
CRIM,131,
CRIM,135,
CRIM,210,CRIM 101 and CRIM 131.
CRIM,220,Any 100 division CRIM course is recommended.
CRIM,230,CRIM 135.
CRIM,241,CRIM 131.
CRIM,251,CRIM 131.
CRIM,302,CRIM 101.
CRIM,303,Any 100 division CRIM course.
CRIM,304,Any 100 division CRIM courses.
CRIM,311,CRIM 101.
CRIM,314,CRIM 101. Recommended: CRIM 131.
CRIM,315,45 units.
CRIM,317,CRIM 101.
CRIM,318,CRIM 101.
CRIM,320,CRIM 101; one of CRIM 120 or 220. CRIM 320 may be taken concurrently with CRIM 321.
CRIM,321,CRIM 101; one of CRIM 120 or 220. This course may be taken concurrently with CRIM 320.
CRIM,326,CRIM 101 and CRIM 103.
CRIM,330,CRIM 101 and 230.
CRIM,331,CRIM 101 and 230.
CRIM,332,CRIM 101 and 135.
CRIM,335,CRIM 101 and CRIM 135.
CRIM,338,CRIM 101 and 135.
CRIM,340,CRIM 101 and 220.
CRIM,343,CRIM 101. Recommended: CRIM 241.
CRIM,344,CRIM 101 and CRIM 135.
CRIM,346,CRIM 101. Recommended: CRIM 241
CRIM,350,CRIM 101.
CRIM,351,CRIM 101 and 251.
CRIM,352,CRIM 101.
CRIM,355,45 units.
CRIM,356,45 units.
CRIM,357,CRIM 101.
CRIM,358,CRIM 101. Recommended: CRIM 320 or equivalent.
CRIM,370,"CRIM 320 and 330, and written application to the school no later than the last day of classes of the preceding term. CRIM 370 and 470 may not be taken concurrently."
CRIM,380,CRIM 101.
CRIM,402,CRIM 101.
CRIM,405,CRIM 101.
CRIM,406,CRIM 101.
CRIM,410,CRIM 131.
CRIM,416,CRIM 101.
CRIM,417,CRIM 101.
CRIM,418,CRIM 101.
CRIM,419,CRIM 101 or FNST 101 or 201 or permission of the instructor.
CRIM,429,CRIM 101 or FNST 101 or 201 or permission of instructor.
CRIM,433,CRIM 101.
CRIM,438,CRIM 330 is recommended.
CRIM,441,CRIM 220.
CRIM,451,CRIM 101. Recommended: CRIM 355.
CRIM,452,CRIM 101. Recommended: CRIM 357.
CRIM,453,CRIM 101.
CRIM,454,CRIM 101.
CRIM,458,CRIM 251.
CRIM,459,CRIM 101.
CRIM,460,CRIM 101.
CRIM,470,"CRIM 320, 321 and 330. Written application to the school no later than the last day of classes of the preceding term. Reserved for criminology honours and majors. Recommended: CRIM 370."
CRIM,480,CRlM 380.
CRIM,485,"Permission of the school, and minimum 90 units and CGPA of 2.75. Applicants must be declared criminology majors."
CRIM,486,"Permission of the school, and minimum 90 units and CGPA of 2.75. Applicants must be declared criminology majors and must be enrolled in or have completed CRIM 320, 321 and 485. Corequisite: CRIM 488. A criminal record check may be required dependent on agency."
CRIM,487,"CRIM 485, a minimum of 90 units and CGPA of 2.75, and/or permission of the school. Applicants must be declared criminology majors. Corequisite: CRIM 489. A criminal record check may be required dependent on agency."
CRIM,488,"Permission of the school, CRIM 485, a minimum of 90 units and CGPA of 2.75. Applicants must be declared criminology majors. Corequisite: CRIM 486. A criminal record check may be required dependent on agency."
CRIM,489,"CRIM 485, a minimum of 90 units and CGPA of 2.75, and/or permission of the school. Applicants must be declared criminology majors. Corequisite: CRIM 487. A criminal record check may be required dependent on agency."
CRIM,490,Open only to students who have been admitted to the Criminology Honours Program
CRIM,491,Open only to students who have been admitted to the Criminology Honours Program.
CRIM,499,A minimum grade of B in CRIM 490 and 491 is required.
DATA,180,Major or honours in Data Science or permission of the program director.
DIAL,393,45 units or permission of instructor. Corequisite: DIAL 394.
DIAL,394,45 units or permission of instructor. Corequisite: DIAL 393.
DIAL,461,45 units and permission of instructor.
EASC,101,
EASC,103,
EASC,107,
EASC,201,EASC 101 with a grade of C- or better. EASC 210 recommended.
EASC,202,EASC 101 and CHEM 121. All with a grade of C- or better.
EASC,204,"EASC 101, PHYS 101 or 120 or 125 or 140. All with a grade of C- or better."
EASC,205,"EASC 202, CHEM 122, and one of: (PHYS 102 and PHYS 133), (PHYS 121 and PHYS 133), (PHYS 126 and PHYS 133) or (PHYS 141). All with a grade of C- or better."
EASC,206,EASC 101 with a grade of C- or better. Corequisite: EASC 210.
EASC,207,"MATH 152, and one of: (PHYS 102 and PHYS 133), (PHYS 121 and PHYS 133), (PHYS 126 and PHYS 133) or (PHYS 141). All with a grade of C- or better."
EASC,208,"EASC 202, CHEM 121, 122 and 126. All with a grade of C- or better."
EASC,210,EASC 101 with a grade of C- or better.
EASC,301,EASC 205 and 208. All with a grade of C- or better.
EASC,302,"STAT 201 or 270, EASC 201 and 205. All with a grade of C- or better."
EASC,304,"EASC 101 and PHYS 102 or 121 or 126 or 141; and 12 additional units in earth sciences, physical geography or environmental science. All with a grade of C- or better."
EASC,305,"EASC 101; MATH 152, PHYS 121 or 126 or 102 or 141, and STAT 201 or 270 (all with a grade of C- or better), and six units in any 200-division or higher EASC courses."
EASC,306,"Prerequisite/Corequisite: EASC 201, 204, 205, and 206. All with a grade of C- or better."
EASC,308,"EASC 201, 206 and 209W. Recommended: EASC 207. All with a grade of C- or better."
EASC,309,"EASC 201, 204, 205, 206 and 207. All with a grade of C- or better."
EASC,311,EASC 301 with a grade of C- or better. EASC 302 recommended.
EASC,312,"EASC 201 and 204. Recommended: EASC 206, 302. All with a grade of C- or better."
EASC,313,EASC 204 with a grade of C- or better.
EASC,400,To be determined by instructor.
EASC,401,"EASC 201, 204, 208, and 301. All with a grade of C- or better."
EASC,402,EASC 302 with a grade of C- or better.
EASC,403,"EASC 201, EASC 209W or GEOG 213, and EASC 308. All with a grade of C- or better."
EASC,405,"EASC 304 or GEOG 311, with a grade of C- or better."
EASC,408,/Corequsite: EASC 309 with a C- or better.
EASC,413,EASC 313 with a grade of C- or better or permission of instructor.
EASC,415,EASC 304.
EASC,420,"EASC 302 or EASC 312, and EASC 304. All with a grade of C- or better."
EASC,491,75 units including 30 units in earth science courses and permission of the department.
EASC,493,75 units including 30 units in earth sciences courses and permission of the department.
EASC,498,Permission of the department. Normally taken after completion of 300-level program requirements.
EASC,499,"EASC 498 with a grade of B or better, admittance to the honours program, and permission of the department."
ECON,102,
ECON,103,
ECON,104,
ECON,105,
ECON,113,
ECON,115,
ECON,201,"ECON 103 with a minimum grade of C- or ECON 113 with a minimum grade of A-; ECON 105 with a minimum grade of C- or ECON 115 with a minimum grade of A-; MATH 150, MATH 151, MATH 154, or MATH 157, with a minimum grade of C-."
ECON,222,"ECON 103, MATH 150, MATH 151, MATH 154, or MATH 157, with a minimum grade of C-, or ECON 113 with a minimum grade of A-."
ECON,233,"MATH 150, MATH 151, MATH 154, or MATH 157, with a minimum grade of C-; 15 units. MATH 150, MATH 151, MATH 154, or MATH 157 may be taken concurrently with ECON 233."
ECON,260,ECON 103 with a minimum grade of C- or ECON 113 with a minimum grade of A-.
ECON,280,ECON 103 with a minimum grade of C- or ECON 113 with a minimum grade of A-.
ECON,290,"ECON 103 or ECON 113, with a minimum grade of C-."
ECON,291,"ECON 103 or ECON 113, with a minimum grade of C-; ECON 105 or ECON 115, with a minimum grade of C-."
ECON,302,ECON 201 with a minimum grade of C-; 60 units.
ECON,305,ECON 201 with a minimum grade of C-; 60 units. Students with a minimum grade of A- in ECON 103 and 105 at Simon Fraser University at their first attempt can complete ECON 305 concurrently with ECON 201 after 30 units. Students seeking permission to enroll on this basis must contact the undergraduate advisor in economics.
ECON,310,ECON 103 with a minimum grade of C- or ECON 113 with a minimum grade of A-; ECON 105 with a minimum grade of C- or ECON 115 with a minimum grade of A-; 60 units.
ECON,325,ECON 201 with a minimum grade of C-; 60 units.
ECON,331,"ECON 103 and 105, with a minimum grade of C-; MATH 150, MATH 151, MATH 154, or MATH 157, with a minimum grade of C-; 60 units or permission of the department."
ECON,333,"ECON 103 with a minimum grade of C- or ECON 113 with a minimum grade of A-; ECON 105 with a minimum grade of C- or ECON 115 with a minimum grade of A-; ECON 233, BUS (or BUEC) 232, or STAT 270, with a minimum grade of C-; MATH 150, MATH 151, MATH 154, or MATH 157, with a minimum grade of C-; 60 units. Students with a minimum grade of A- in ECON 233, BUS (or BUEC) 232 or STAT 270 can take ECON 333 after 30 units. Students seeking permission to enroll based on their ECON 233, BUS (or BUEC) 232 or STAT 270 grade must contact the undergraduate advisor in economics."
ECON,334,"ECON 233 or BUS 232 or STAT 270 or POL 201, with a minimum grade of C-; ECON 103 with a minimum grade of C-, or ECON 113 with a minimum grade of A-, or ECON 105 with a minimum grade of C-, or ECON 115 with a minimum grade of A-."
ECON,335,
ECON,342,ECON 103 with a minimum grade of C- or ECON 113 with a minimum grade of A-; ECON 105 with a minimum grade of C- or ECON 115 with a minimum grade of A-; 60 units or permission of the department.
ECON,345,ECON 103 with a minimum grade of C- or ECON 113 with a minimum grade of A-; ECON 105 with a minimum grade of C- or ECON 115 with a minimum grade of A-; 60 units or permission of the department.
ECON,381,ECON 201 with a minimum grade of C-; 60 units.
ECON,383,To be determined by the instructor subject to approval by the department chair.
ECON,392,ECON 201 with a minimum grade of C-; 60 units.
ECON,393,ECON 201 with a minimum grade of C-; 60 units.
ECON,402,"ECON 302 and 331, with a minimum grade of C-. Students who have completed both MATH 232 and 251 may substitute these courses for ECON 331. Entry into this course requires a minimum CGPA of 3.0 or permission of the department."
ECON,403,"ECON 302, 305 and 331, all with a minimum grade of C-. Students who have completed both MATH 232 and 251 may substitute them for ECON 331. Entry into this course requires a minimum CGPA of 3.0 or permission of the department."
ECON,410,"ECON 201 and ECON 305, all with a minimum grade of C-."
ECON,425,ECON 302 with a minimum grade of C-.
ECON,434,"ECON 333 (or BUEC 333) and ECON 302, all with a minimum grade of C-."
ECON,435,"ECON 201 and ECON (or BUEC) 333, all with a minimum grade of C-. Entry into this course requires a minimum CGPA of 3.0 or permission of the department."
ECON,437,"ECON 201 or ECON 301, with a minimum grade of C-."
ECON,446,"ECON 201, ECON 305 and ECON 345, all with a minimum grade of C-."
ECON,453,"ECON 201 and ECON (or BUEC) 333, all with a minimum grade of C-."
ECON,460,ECON 302 with a minimum grade of C-.
ECON,480,ECON (or BUEC) 333 with a minimum grade of C-.
ECON,482,To be determined by the instructor subject to approval by the department chair.
