Department,CourseNumber,Prerequisites,Offerings,ParsedPrerequisites,numberOfOfferings
CA,347,CA 247 or permission of instructor.,"['Spring 2025', 'Spring 2024']",(CA247),2
CA,349,CA (or FPA) 245.,['Spring 2024'],"(CA245),(FPA245)",1
CA,350,"CA 252 and declared status in the theatre and performance major or honours, or by prior approval.","['Spring 2025', 'Spring 2024']",(CA252),2
CA,354,"One of CA 221, 231, 246, 252, 261, 271, 285.",['Fall 2024'],"(CA221),(CA231),(CA246),(CA252),(CA261),(CA271),(CA285),(FPA221),(FPA231),(FPA246),(FPA252),(FPA261),(FPA271),(FPA285)",1
CA,355,CA 354.,"['Spring 2025', 'Spring 2024']",(CA354),2
CA,356,"One of CA 221, 231, 246, 252, 256, 261, 271, 285.","['Spring 2025', 'Spring 2024']","(CA221),(CA231),(CA246),(CA252),(CA256),(CA261),(CA271),(CA285),(FPA221),(FPA231),(FPA246),(FPA252),(FPA256),(FPA261),(FPA271),(FPA285)",2
CA,360,"CA (or FPA) 117 (or 167), 118 (or 168), 210W (or 210), 261 and status as an approved Visual Art Major. Corequisite: CA 366.",['Fall 2024'],"(CA117,CA118,CA210W,CA261),(CA167,CA168,CA210W,CA261),(CA117,CA118,CA210,CA261),(CA167,CA168,CA210,CA261),(FPA117,FPA118,FPA210W,FPA261),(FPA167,FPA168,FPA210W,FPA261),(FPA117,FPA118,FPA210,FPA261),(FPA167,FPA168,FPA210,FPA261)",1
CA,361,CA (or FPA) 360 and 366. Corequisite: CA 367.,"['Spring 2025', 'Spring 2024']","(CA360,CA366),(FPA360,FPA366)",2
CA,362,CA (or FPA) 160. A course materials fee is required.,['Fall 2024'],"(CA160),(FPA160)",1
CA,363,CA (or FPA) 160. A course materials fee is required.,"['Spring 2025', 'Spring 2024']","(CA160),(FPA160)",2
CA,365,CA (or FPA) 160. A course materials fee is required.,['Spring 2025'],"(CA160),(FPA160)",1
CA,366,"CA (or FPA) 117 (or 167), 118 (or 168), 210W (or 210), 261 and status as an approved Visual Art Major. Corequisite: CA 360.",['Fall 2024'],"(CA117,CA118,CA210W,CA261),(CA167,CA168,CA210W,CA261),(CA117,CA118,CA210,CA261),(CA167,CA168,CA210,CA261),(FPA117,FPA118,FPA210W,FPA261),(FPA167,FPA168,FPA210W,FPA261),(FPA117,FPA118,FPA210,FPA261),(FPA167,FPA168,FPA210,FPA261)",1
CA,367,CA (or FPA) 366. Corequisite: CA 361.,"['Spring 2025', 'Spring 2024']","(CA366),(FPA366)",2
CA,369,CA (or FPA) 160. A course materials fee is required.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']","(CA160),(FPA160)",4
CA,370,CA (or FPA) 270 and 271 or prior approval.,['Fall 2024'],"(CA270,CA271),(FPA270,FPA271)",1
CA,371,CA (or FPA) 270 and 271 or prior approval.,"['Spring 2025', 'Spring 2024']","(CA270,CA271),(FPA270,FPA271)",2
CA,374,CA (or FPA) 270 or prior approval.,['Fall 2024'],"(CA270),(FPA270)",1
CA,375,CA (or FPA) 270 or prior approval.,"['Spring 2025', 'Spring 2024']","(CA270),(FPA270)",2
CA,376,"CA 270, CA 276, or permission of instructor.",['Spring 2025'],"(CA270,CA276)",1
CA,381,45 units.,['Fall 2024'],,1
CA,386,60 units.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CA,389,30 units of CA (or FPA) courses.,['Spring 2024'],,1
CA,390,CA (or FPA) 231 or approval of instructor.,['Fall 2024'],"(CA231),(FPA231)",1
CA,393,CA (or FPA) 390 or approval of instructor.,"['Spring 2025', 'Spring 2024']","(CA390),(FPA390)",2
CA,400,"60 units plus a minimum standing of completion of second year in any of the programs offered in the School for the Contemporary Arts, and prior approval.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CA,401,"60 units plus a minimum standing of completion of second year in any of the programs offered in the School for the Contemporary Arts, and prior approval.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CA,405,30 units in CA.,"['Summer 2025', 'Summer 2024']",,2
CA,406,60 units including CA 304 and permission of Internship Coordinator.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CA304),5
CA,407,60 units including CA 304 and permission of Internship Coordinator.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CA304),5
CA,408,A minimum of 30 units and approval of Field School Director.,"['Summer 2025', 'Summer 2024']",,2
CA,409,A minimum of 30 units and approval of Field School Director.,"['Summer 2025', 'Summer 2024']",,2
CA,416,CA (or FPA) 316 (or 337) or CA (or FPA) 318 (or 335).,"['Spring 2025', 'Spring 2024']","(CA316),(CA337),(CA318),(CA335),(FPA316),(FPA337),(FPA318),(FPA335)",2
CA,420,CA (or FPA) 285 and CA (or FPA) 321.,"['Spring 2025', 'Fall 2024', 'Spring 2024']","(CA285,CA321),(FPA285,FPA321)",3
CA,421,"CA (or FPA) 124, 285, 324 and (326 or 327).",['Summer 2024'],"(CA124,CA285,CA324,CA326),(CA124,CA285,CA324,CA327),(FPA124,FPA285,FPA324,FPA326),(FPA124,FPA285,FPA324,FPA327)",1
CA,424,CA 324.,['Fall 2024'],(CA324),1
CA,425,"CA 220, 324.","['Spring 2025', 'Spring 2024']","(CA220,CA324)",2
CA,427,CA (or FPA) 323 or prior approval.,['Fall 2024'],"(CA323),(FPA323)",1
CA,428,CA (or FPA) 427 or prior approval.,"['Spring 2025', 'Spring 2024']","(CA427),(FPA427)",2
CA,430,"CA (or FPA) 149, 186, 231, 285 and 10 units in film or cinema studies (CA (or FPA) 135, 136, 137, 186, 235, 236, 216 (or 237), 318 (or 335), 316 (or 337), 416 (or 436)) plus prior approval.",['Fall 2024'],"(CA149,CA186,CA231,CA285,CA135),(CA149,CA186,CA231,CA285,CA136),(CA149,CA186,CA231,CA285,CA137),(CA149,CA186,CA231,CA285,CA186),(CA149,CA186,CA231,CA285,CA235),(CA149,CA186,CA231,CA285,CA236),(CA149,CA186,CA231,CA285,CA216),(CA149,CA186,CA231,CA285,CA237),(CA149,CA186,CA231,CA285,CA318),(CA149,CA186,CA231,CA285,CA335),(CA149,CA186,CA231,CA285,CA316),(CA149,CA186,CA231,CA285,CA337),(CA149,CA186,CA231,CA285,CA416),(CA149,CA186,CA231,CA285,CA436),(FPA149,FPA186,FPA231,FPA285,FPA135),(FPA149,FPA186,FPA231,FPA285,FPA136),(FPA149,FPA186,FPA231,FPA285,FPA137),(FPA149,FPA186,FPA231,FPA285,FPA186),(FPA149,FPA186,FPA231,FPA285,FPA235),(FPA149,FPA186,FPA231,FPA285,FPA236),(FPA149,FPA186,FPA231,FPA285,FPA216),(FPA149,FPA186,FPA231,FPA285,FPA237),(FPA149,FPA186,FPA231,FPA285,FPA318),(FPA149,FPA186,FPA231,FPA285,FPA335),(FPA149,FPA186,FPA231,FPA285,FPA316),(FPA149,FPA186,FPA231,FPA285,FPA337),(FPA149,FPA186,FPA231,FPA285,FPA416),(FPA149,FPA186,FPA231,FPA285,FPA436)",1
CA,432,CA (or FPA) 430.,"['Spring 2025', 'Spring 2024']","(CA430),(FPA430)",2
CA,440,CA 240 or permission of instructor.,['Fall 2024'],(CA240),1
CA,445,CA 346.,['Fall 2024'],(CA346),1
CA,446,CA 445.,"['Spring 2025', 'Spring 2024']",(CA445),2
CA,449,CA 241 or permission of instructor.,['Fall 2024'],(CA241),1
CA,451,"CA 253, CA 355, CA 356, CA 357W.",['Fall 2024'],"(CA253,CA355,CA356,CA357W)",1
CA,452,CA 451.,"['Spring 2025', 'Spring 2024']",(CA451),2
CA,460,"CA (or FPA) 361, 367 and status as an approved major in visual art.",['Fall 2024'],"(CA361,CA367)",1
CA,461,CA (or FPA) 460 and status as an approved major in visual art.,"['Spring 2025', 'Spring 2024']",(CA460),2
CA,471,CA (or FPA) 370 or 371 and prior approval.,"['Spring 2025', 'Spring 2024']","(CA370),(CA371),(FPA370),(FPA371)",2
CA,485,"One CA studio course at the upper level, a CGPA of 3.0 and an overall average of 3.5 in CA courses.",['Summer 2025'],,1
CA,489,45 CA (or FPA) units.,['Spring 2024'],,1
CENV,302,Admission into Environment Co-operative Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024']",,3
CENV,303,Readmission into Environment Co-operative Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024']",,3
CENV,402,Readmission into Environment Co-operative Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024']",,3
CENV,403,Readmission into Environment Co-operative Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024']",,3
CENV,404,Readmission into Environment Co-operative Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024']",,3
CHEM,110,"Pre-Calculus 12 (or equivalent), MATH 100 (may be taken concurrently), or permission of the department. No previous training in chemistry is required for this course.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(MATH100),5
CHEM,111,"Pre-Calculus 12 (or equivalent), MATH 100 (may be taken concurrently), or permission of the department. No previous training in chemistry is required for this course.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']",(MATH100),4
CHEM,120,"Chemistry 12 with a minimum grade of B, or CHEM 110 or 111 with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']","(CHEM110),(CHEM111)",5
CHEM,121,"Chemistry 12 with a minimum grade of B, or CHEM 109 or 111 with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']","(CHEM109),(CHEM111)",5
CHEM,122,CHEM 120 or 121 with a minimum grade of C-.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']","(CHEM120),(CHEM121)",5
CHEM,125,"Chemistry 12 with a minimum grade of C, or CHEM 109 or CHEM 111 with a minimum grade of C-. Corequisite: CHEM 120.","['Summer 2025', 'Fall 2024', 'Summer 2024']","(CHEM109),(CHEM111)",3
CHEM,126,CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CHEM121),5
CHEM,180,CHEM 121 with a minimum grade of C-.,['Fall 2024'],(CHEM121),1
CHEM,210,CHEM 122 with a minimum grade of C-.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CHEM122),5
CHEM,216,"CHEM 122 and CHEM 126, both with a minimum grade of C-. Corequisite: CHEM 210.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']","(CHEM122,CHEM126)",5
CHEM,230,CHEM 122 with a minimum grade of C-. Students who expect to take further courses in inorganic chemistry should take CHEM 230 concurrently with CHEM 236W.,"['Summer 2025', 'Fall 2024']",(CHEM122),2
CHEM,260,"CHEM 122, MATH 152, and PHYS 121, 126 or 141 (or PHYS 102 with a minimum grade of B), all with a minimum grade of C-. Recommended: MATH 232.","['Spring 2025', 'Fall 2024', 'Spring 2024']","(CHEM122,MATH152,PHYS121),(CHEM122,MATH152,PHYS126),(CHEM122,MATH152,PHYS141),(CHEM122,MATH152,PHYS102)",3
CHEM,266,CHEM 260 with a minimum grade of C-.,"['Spring 2025', 'Summer 2024', 'Spring 2024']",(CHEM260),3
CHEM,280,CHEM 120 or CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122.,['Summer 2024'],"(CHEM120),(CHEM121)",1
CHEM,281,CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CHEM121),5
CHEM,282,CHEM 281 with a minimum grade of C-.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CHEM281),5
CHEM,283,CHEM 281 with a minimum grade of C-.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CHEM281),5
CHEM,284,"CHEM 282 with a minimum of C+, or permission of the Department.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CHEM282),5
CHEM,285,"CHEM 120 and CHEM 125, both with a minimum grade of C-, or CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122 and CHEM 280.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']","(CHEM120,CHEM125),(CHEM121)",5
CHEM,286,CHEM 281 with a minimum grade of C-. Corequisite: CHEM 282 or 283.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CHEM281),5
CHEM,296,"30 units, including five units of 2nd year CHEM courses. A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CHEM,306,"Completion of 28 units in a science program, including first-year calculus, chemistry and physics. Minimum CGPA 2.67 (or permission of co-op co-ordinator).","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CHEM,307,CHEM 306 and completion of 42 units toward a BSc degree. Minimum CGPA 2.67 (or permission of co-op co-ordinator).,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CHEM306),5
CHEM,316,"CHEM 210, 216, and 260, all with a minimum grade of C-, or permission of the department.","['Spring 2025', 'Fall 2024', 'Spring 2024']","(CHEM210,CHEM216,CHEM260)",3
CHEM,317,CHEM 316 with a minimum grade of C-.,['Spring 2025'],(CHEM316),1
CHEM,332,"CHEM 230, 236W and 260, all with a minimum grade of C-, or permission of the Department.","['Spring 2025', 'Spring 2024']","(CHEM230,CHEM236W,CHEM260)",2
CHEM,336,CHEM 236W with a minimum grade of C-. Corequisite: CHEM 332.,"['Spring 2025', 'Spring 2024']",(CHEM236W),2
CHEM,340,"Completion of 60 units in a science or applied science program, including first year chemistry, physics and calculus. CHEM 230 is strongly recommended.","['Fall 2024', 'Spring 2024']",(CHEM230),2
CHEM,360,CHEM 260 with a minimum grade of C-. Recommended: MATH 251.,"['Summer 2025', 'Spring 2025', 'Spring 2024']",(CHEM260),3
CHEM,364,"CHEM 260 or PHYS 285, MATH 232, and MATH 251, all with a minimum grade of C-. Recommended: MATH 260 or MATH 310.",['Fall 2024'],"(CHEM260,PHYS285,MATH232,MATH251)",1
CHEM,372,"CHEM 281 and CHEM 360, both with a minimum grade of C-.",['Spring 2024'],"(CHEM281,CHEM360)",1
CHEM,380,"(CHEM 282 or 283 or 284) and CHEM 286, both with a minimum grade of C-, or permission of the department.",['Fall 2024'],"(CHEM282,CHEM286),(CHEM283,CHEM286),(CHEM284,CHEM286)",1
CHEM,381,CHEM 380 with a minimum grade of C-.,['Spring 2024'],(CHEM380),1
CHEM,391,"CHEM 230 and 282 (or 283), both with a minimum grade of C-, or permission of the department.",['Spring 2025'],"(CHEM230,CHEM282),(CHEM230,CHEM283)",1
CHEM,396,"50 units, including one 3rd year CHEM core course (CHEM 316, 332, 336, 360, 366, 380 or NUSC 341). A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']","(CHEM316),(CHEM332),(CHEM336),(CHEM360),(CHEM366),(CHEM380),(NUSC341)",5
CHEM,406,CHEM 307 and completion of 56 units toward a BSc degree. Minimum CGPA of 2.67 (or permission of co-op co-ordinator).,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CHEM307),5
CHEM,407,CHEM 406. Minimum CGPA of 2.67 (or permission of co-op co-ordinator).,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CHEM406),5
CHEM,408,CHEM 407.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CHEM407),5
CHEM,419,CHEM 316 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Spring 2024']",(CHEM316),3
CHEM,432,CHEM 332 with a minimum grade of C-.,['Spring 2025'],(CHEM332),1
CHEM,439,CHEM 332 with a minimum grade of C-.,"['Fall 2024', 'Spring 2024']",(CHEM332),2
CHEM,440,CHEM 340 with a minimum grade of C-.,['Spring 2025'],(CHEM340),1
CHEM,442,"CHEM 282 or 283, with a minimum grade of C-.",['Spring 2025'],"(CHEM282),(CHEM283)",1
CHEM,449,"CHEM 210, 260, 283 (or 284), and 12 units of upper division CHEM, all with a minimum grade of C-; or permission of the department.",['Spring 2024'],"(CHEM210,CHEM260,CHEM283),(CHEM210,CHEM260,CHEM284)",1
CHEM,452,"CHEM 380 and MBB 222, both with a minimum grade of C-, or permission of the Department.",['Fall 2024'],"(CHEM380,MBB222)",1
CHEM,459,"CHEM 380 with a minimum grade of C-, or permission of the instructor.","['Spring 2025', 'Fall 2024', 'Spring 2024']",(CHEM380),3
CHEM,462,"CHEM 364 or PHYS 385, with a minimum grade of C-.",['Spring 2025'],"(CHEM364),(PHYS385)",1
CHEM,481,Permission of the Department; knowledge of chemistry at an advanced level. Normally taken after completion of 300-level course requirements.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CHEM,482,Permission of the Department. Normally taken during the fourth year of study.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CHEM,483,CHEM 481 and permission of the Department. This course cannot be counted towards the 400-level CHEM unit requirement for the Chemistry Majors program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CHEM481),5
CHEM,484,Permission of the Department; knowledge of chemistry at an advanced level. Normally taken after completion of 300-level course requirements.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CHIN,110,CHIN 100 or equivalent.,"['Spring 2025', 'Fall 2024', 'Spring 2024']",(CHIN100),3
CHIN,190,"This course is for students of Chinese origin who have native or near native speaking ability in Chinese (Mandarin or other dialects), but limited knowledge of written Chinese.",['Fall 2024'],,1
CHIN,191,"CHIN 190 or equivalent. This course is for students of Chinese origin who have near native speaking ability in Chinese (Mandarin or other dialects), but limited knowledge of written Chinese.","['Spring 2025', 'Spring 2024']",(CHIN190),2
CHIN,200,CHIN 110 (or CHIN 101) or equivalent.,"['Spring 2025', 'Fall 2024', 'Spring 2024']","(CHIN110),(CHIN101)",3
CHIN,290,"CHIN 191 or equivalent. This course is for students of Chinese origin who have near native speaking ability in Chinese (Mandarin or other dialects), but basic knowledge of written Chinese.",['Fall 2024'],(CHIN191),1
CHIN,291,"CHIN 290 or equivalent. This course is for students of Chinese origin who have near native speaking ability in Chinese (Mandarin or other dialects), but basic knowledge of written Chinese.","['Spring 2025', 'Spring 2024']",(CHIN290),2
CHIN,330,CHIN 291 or permission of the instructor.,"['Summer 2025', 'Spring 2025', 'Spring 2024']",(CHIN291),3
CHIN,390,CHIN 291 or permission of the instructor.,['Fall 2024'],(CHIN291),1
CHIN,460,"CHIN 330, CHIN 390 or equivalent.","['Spring 2025', 'Fall 2024']","(CHIN330),(CHIN390)",2
CMNS,110,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CMNS,130,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CMNS,202,Nine CMNS units with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,4
CMNS,210,Nine CMNS units with a minimum grade of C-.,"['Fall 2024', 'Spring 2024']",,2
CMNS,215,Nine CMNS units with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Spring 2024']",,3
CMNS,221,Nine CMNS units with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,4
CMNS,226,Nine CMNS units with a minimum grade of C-. CMNS 220 recommended.,"['Summer 2025', 'Spring 2025']",(CMNS220),2
CMNS,230,Nine CMNS units with a minimum grade of C-.,['Spring 2025'],,1
CMNS,235,Nine CMNS units with a minimum grade of C-.,"['Fall 2024', 'Summer 2024']",,2
CMNS,240,Nine CMNS units with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,4
CMNS,258,,"['Summer 2025', 'Fall 2024']",,2
CMNS,311,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CMNS,312,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Summer 2025', 'Spring 2025']",,2
CMNS,313,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']",,4
CMNS,314,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,4
CMNS,315,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Spring 2024']",,3
CMNS,316,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CMNS,353,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,4
CMNS,362,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,4
CMNS,395,Acceptance in the co-operative education program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CMNS,396,CMNS 395.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CMNS395),5
CMNS,410,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Fall 2024'],,1
CMNS,424,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Spring 2024'],,1
CMNS,425,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Spring 2024']",,3
CMNS,426,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Spring 2024']",,3
CMNS,431,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Summer 2024'],,1
CMNS,432,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Summer 2024'],,1
CMNS,437,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Summer 2025'],,1
CMNS,440,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Spring 2024'],,1
CMNS,443,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Fall 2024'],,1
CMNS,445,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"['Summer 2025', 'Summer 2024']",,2
CMNS,446,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Fall 2024'],,1
CMNS,452,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,4
CMNS,453,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CMNS,461,75 units including CMNS 460 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CMNS460),4
CMNS,479,Two upper division CMNS courses with a minimum grade of C- and permission of the instructor.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CMNS,480,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CMNS,481,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.,['Spring 2024'],,1
CMNS,482,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.,['Spring 2024'],,1
CMNS,486,Depends on topic; published before enrollment.,['Fall 2024'],,1
CMNS,487,Depends on topic; published before enrollment.,"['Spring 2025', 'Fall 2024', 'Spring 2024']",,3
CMNS,488,Depends on topic; published before enrollment.,"['Summer 2025', 'Fall 2024']",,2
CMNS,489,75 units and permission of the school.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,4
CMNS,494,CMNS 396.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CMNS396),5
CMNS,495,CMNS 494.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CMNS494),5
CMNS,496,CMNS 495.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CMNS495),5
CMNS,497,Students accepted into honours program only.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CMNS,498,Successful completion of CMNS 497 with grade of B or higher.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CMNS497),5
CMPT,120,BC Math 12 or equivalent is recommended.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",,5
CMPT,125,"CMPT 120 or CMPT 130, with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']","(CMPT120),(CMPT130)",5
CMPT,130,"BC Math 12 (or equivalent, or any of MATH 100, 150, 151, 154, or 157, with a minimum grade of C-).",['Fall 2024'],"(MATH100),(MATH150),(MATH151),(MATH154),(MATH157)",1
CMPT,135,CMPT 130 with a minimum grade of C-.,"['Spring 2025', 'Spring 2024']",(CMPT130),2
CMPT,201,"(CMPT 125 or CMPT 135) and MACM 101, both with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']","(CMPT125,MACM101),(CMPT135,MACM101)",4
CMPT,210,"MACM 101, MATH 152, CMPT 125 or CMPT 135, and (MATH 240 or MATH 232), all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']","(MACM101,MATH152,CMPT125,MATH240),(MACM101,MATH152,CMPT125,MATH232),(MACM101,MATH152,CMPT135,MATH240),(MACM101,MATH152,CMPT135,MATH232)",4
CMPT,213,CMPT 225 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']",(CMPT225),4
CMPT,225,"(MACM 101 and (CMPT 125, CMPT 129 or CMPT 135)) or (ENSC 251 and ENSC 252), all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']","(MACM101,CMPT125),(MACM101,CMPT129),(MACM101,CMPT135),(ENSC251,ENSC252)",5
CMPT,263,"CMPT 125 or CMPT 135, with a minimum grade of C-.","['Summer 2025', 'Fall 2024', 'Summer 2024']","(CMPT125),(CMPT135)",3
CMPT,272,"CMPT 120 or CMPT 130 or CMPT 128, with a minimum grade of C-.",['Fall 2024'],"(CMPT120),(CMPT130),(CMPT128)",1
