Department,CourseNumber,ParsedPrerequisites,numberOfOfferings,Prerequisites,Offerings
CMNS,432,,1,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Summer 2024']
CMNS,437,,1,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Summer 2025']
CMNS,440,,1,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Spring 2024']
CMNS,443,,1,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Fall 2024']
CMNS,445,,2,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"['Summer 2025', 'Summer 2024']"
CMNS,446,,1,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Fall 2024']
CMNS,452,,4,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,453,,5,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,461,(CMNS460),4,75 units including CMNS 460 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,479,,5,Two upper division CMNS courses with a minimum grade of C- and permission of the instructor.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,480,,5,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,481,,1,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.,['Spring 2024']
CMNS,482,,1,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.,['Spring 2024']
CMNS,486,,1,Depends on topic; published before enrollment.,['Fall 2024']
CMNS,487,,3,Depends on topic; published before enrollment.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMNS,488,,2,Depends on topic; published before enrollment.,"['Summer 2025', 'Fall 2024']"
CMNS,489,,4,75 units and permission of the school.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,494,(CMNS396),5,CMNS 396.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,495,(CMNS494),5,CMNS 494.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,496,(CMNS495),5,CMNS 495.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,497,,5,Students accepted into honours program only.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,498,(CMNS497),5,Successful completion of CMNS 497 with grade of B or higher.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,120,,5,BC Math 12 or equivalent is recommended.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,125,"(CMPT120),(CMPT130)",5,"CMPT 120 or CMPT 130, with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,130,"(MATH100),(MATH150),(MATH151),(MATH154),(MATH157)",1,"BC Math 12 (or equivalent, or any of MATH 100, 150, 151, 154, or 157, with a minimum grade of C-).",['Fall 2024']
CMPT,135,(CMPT130),2,CMPT 130 with a minimum grade of C-.,"['Spring 2025', 'Spring 2024']"
CMPT,201,"(CMPT125,MACM101),(CMPT135,MACM101)",4,"(CMPT 125 or CMPT 135) and MACM 101, both with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,210,"(MACM101,MATH152,CMPT125,MATH240),(MACM101,MATH152,CMPT125,MATH232),(MACM101,MATH152,CMPT135,MATH240),(MACM101,MATH152,CMPT135,MATH232)",4,"MACM 101, MATH 152, CMPT 125 or CMPT 135, and (MATH 240 or MATH 232), all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,213,(CMPT225),4,CMPT 225 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,225,"(MACM101,CMPT125),(MACM101,CMPT129),(MACM101,CMPT135),(ENSC251,ENSC252)",5,"(MACM 101 and (CMPT 125, CMPT 129 or CMPT 135)) or (ENSC 251 and ENSC 252), all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,263,"(CMPT125),(CMPT135)",3,"CMPT 125 or CMPT 135, with a minimum grade of C-.","['Summer 2025', 'Fall 2024', 'Summer 2024']"
CMPT,272,"(CMPT120),(CMPT130),(CMPT128)",1,"CMPT 120 or CMPT 130 or CMPT 128, with a minimum grade of C-.",['Fall 2024']
CMPT,276,"(CMPT225,MACM101,MATH150),(CMPT225,MACM101,MATH151),(CMPT225,ENSC251,ENSC252,MATH150),(CMPT225,ENSC251,ENSC252,MATH151)",5,"One W course, CMPT 225, (MACM 101 or (ENSC 251 and ENSC 252)) and (MATH 151 or MATH 150), all with a minimum grade of C-. MATH 154 or MATH 157 with at least a B+ may be substituted for MATH 151 or MATH 150.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,295,"(MACM101,CMPT125),(MACM101,CMPT135),(MATH151,CMPT102)",5,"Either (MACM 101 and (CMPT 125 or CMPT 135)) or (MATH 151 and CMPT 102 for students in an Applied Physics program), all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,300,"(CMPT225,CMPT295),(CMPT225,ENSC254)",2,"CMPT 225 and (CMPT 295 or ENSC 254), all with a minimum grade of C-.","['Summer 2024', 'Spring 2024']"
CMPT,303,"(CMPT225,CMPT295,CMPT201),(CMPT225,CMPT295,ENSC351),(CMPT225,ENSC254,CMPT201),(CMPT225,ENSC254,ENSC351)",1,"CMPT 225, (CMPT 295 or ENSC 254), and (CMPT 201 or ENSC 351), all with a minimum grade of C-.",['Spring 2025']
CMPT,305,"(CMPT225,MACM101,STAT270),(CMPT225,MACM101,STAT271),(CMPT225,ENSC251,ENSC252,STAT270),(CMPT225,ENSC251,ENSC252,STAT271)",1,"CMPT 225, (MACM 101 or (ENSC 251 and ENSC 252)) and (STAT 270 or STAT 271), all with a minimum grade of C-.",['Spring 2024']
CMPT,307,"(CMPT225,MACM201,MATH150,MATH232),(CMPT225,MACM201,MATH150,MATH240),(CMPT225,MACM201,MATH151,MATH232),(CMPT225,MACM201,MATH151,MATH240),(CMPT225,CMPT210,MATH150,MATH232),(CMPT225,CMPT210,MATH150,MATH240),(CMPT225,CMPT210,MATH151,MATH232),(CMPT225,CMPT210,MATH151,MATH240)",5,"CMPT 225, (MACM 201 or CMPT 210), (MATH 150 or MATH 151), and (MATH 232 or MATH 240), all with a minimum grade of C-. MATH 154 or MATH 157 with a grade of at least B+ may be substituted for MATH 150 or MATH 151.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,310,"(CMPT225,MACM101),(CMPT225,ENSC251,ENSC252)",5,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,318,(CMPT225),3,CMPT 225 with a minimum grade of C-. Additional prerequisites to be determined by the instructor subject to approval by the undergraduate program chair.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,340,"(CMPT125),(CMPT126),(CMPT128),(CMPT135),(CMPT102)",3,"Completion of 60 units including one of CMPT 125, 126, 128, 135, with a minimum grade of C- or CMPT 102 with a grade of B or higher.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,353,"(CMPT225,BUS232),(CMPT225,STAT201),(CMPT225,STAT203),(CMPT225,STAT205),(CMPT225,STAT270),(CMPT225,STAT271),(CMPT225,ENSC280),(CMPT225,MSE210),(CMPT225,SEE241)",5,"CMPT 225 and (BUS 232, STAT 201, STAT 203, STAT 205, STAT 270, STAT 271, ENSC 280, MSE 210, or SEE 241), with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,354,"(CMPT225,MACM101),(CMPT225,ENSC251,ENSC252)",5,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,361,"(CMPT225,MATH232),(CMPT225,MATH240)",3,"CMPT 225 and MATH 232 or 240, all with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,362,(CMPT225),1,CMPT 225 with a minimum grade of C-.,['Fall 2024']
CMPT,363,"(CMPT225,CMPT263)",2,"CMPT 225 and CMPT 263, both with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
CMPT,365,(CMPT225),5,CMPT 225 with a minimum grade of C-.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,371,"(CMPT225,MATH150),(CMPT225,MATH151)",5,"CMPT 225 and (MATH 151 or MATH 150), with a minimum grade of C-. MATH 154 or MATH 157 with a grade of at least B+ may be substituted for MATH 151 (MATH 150).","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,372,"(CMPT225,CMPT272)",1,"CMPT 272 and CMPT 225, both with a minimum grade of C-.",['Spring 2024']
CMPT,373,"(CMPT276),(CMPT275)",1,"CMPT 276 or 275, with a minimum grade of C-.",['Fall 2024']
CMPT,379,"(MACM201,CMPT295,CMPT225),(MACM201,ENSC215,CMPT225),(CMPT210,CMPT295,CMPT225),(CMPT210,ENSC215,CMPT225)",1,"(MACM 201 or CMPT 210), (CMPT 295 or ENSC 215) and CMPT 225, all with a minimum grade of C-.",['Summer 2025']
CMPT,383,"(CMPT225,MACM101),(CMPT225,ENSC251,ENSC252)",4,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,384,"(CMPT225,MACM101),(CMPT225,ENSC251,ENSC252)",1,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.",['Spring 2025']
CMPT,403,"(CMPT201),(CMPT300)",1,"CMPT 201 or CMPT 300, with a minimum grade of C-.",['Summer 2024']
CMPT,404,"(MACM201),(CMPT210)",2,(MACM 201 or CMPT 210) with a minimum grade of C-. CMPT 307 and 308 are recommended.,"['Spring 2025', 'Spring 2024']"
CMPT,405,(CMPT307),3,CMPT 307 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,409,(CMPT307),3,CMPT 307 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,410,"(CMPT310,MACM316)",3,"CMPT 310 and MACM 316, both with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,412,"(CMPT361,MATH152)",2,"CMPT 361 and MATH 152, both with a minimum grade of C-.","['Spring 2025', 'Fall 2024']"
CMPT,413,,2,"Completion of nine units in Computing Science upper division courses or, in exceptional cases, permission of the instructor.","['Spring 2025', 'Spring 2024']"
CMPT,415,,5,Permission of Instructor and School.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,416,,5,Permission of the department.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,417,(CMPT225),1,CMPT 225 with a minimum grade of C-.,['Fall 2024']
CMPT,419,,2,,"['Spring 2025', 'Spring 2024']"
CMPT,420,"(CMPT410),(CMPT419)",2,"CMPT 410 or CMPT 419 (Machine Learning), with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
CMPT,426,"(CMPT275),(CMPT276)",5,"Students must complete Bridging Online (visit www.sfu.ca/coop/bol for further details) at least two terms before their anticipated co-op placement. Students must then enroll with the co-op program by the second week of the term preceding the work term. Normally, students will have completed a minimum of 45 units by the end of the term of application, CMPT 275 or 276, and have a minimum CGPA of 2.50.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,427,(CMPT426),5,"CMPT 426, CGPA of 2.50.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,428,(CMPT427),5,"CMPT 427, CGPA of 2.50.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,429,(CMPT428),5,"CMPT 428, CGPA of 2.50.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,430,(CMPT429),5,"CMPT 429, CGPA of 2.50.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,431,"(CMPT201,CMPT371),(CMPT300,CMPT371)",3,"(CMPT 201 or CMPT 300) and CMPT 371, both with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,433,"(CMPT201,CMPT295),(CMPT300,CMPT295)",2,"(CMPT 201 or CMPT 300) and CMPT 295, with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
CMPT,441,(CMPT307),1,CMPT 307 with a minimum grade of C-.,['Fall 2024']
CMPT,450,(CMPT295),1,CMPT 295 with a minimum grade of C-.,['Fall 2024']
CMPT,454,"(CMPT201,CMPT354),(CMPT300,CMPT354)",4,"(CMPT 201 or CMPT 300) and CMPT 354, with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,459,(CMPT354),3,CMPT 354 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,461,(CMPT361),2,CMPT 361 with a minimum grade of C-.,"['Spring 2025', 'Spring 2024']"
CMPT,464,"(CMPT361,MACM316)",1,"CMPT 361, MACM 316, both with a minimum grade of C-.",['Fall 2024']
CMPT,466,"(CMPT361,MACM316)",1,"CMPT 361 and MACM 316, with a minimum grade of C- or permission of the instructor.",['Spring 2025']
CMPT,469,(CMPT361),4,CMPT 361 with a minimum grade of C-.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,471,"(CMPT300,CMPT371)",2,"CMPT 300 and 371, with a minimum grade of C-.","['Summer 2024', 'Spring 2024']"
CMPT,473,"(CMPT275),(CMPT276)",1,(CMPT 275 or CMPT 276) with a minimum grade of C- and 15 upper division CMPT units.,['Fall 2024']
CMPT,474,(CMPT371),1,CMPT 371 with a minimum grade of C-.,['Spring 2024']
CMPT,475,"(CMPT275,MACM201),(CMPT275,CMPT210),(CMPT276,MACM201),(CMPT276,CMPT210)",3,"CMPT 275 or CMPT 276, (MACM 201 or CMPT 210) , all with a minimum grade of C- and 15 units of upper division courses. Recommended: Co-op experience.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,476,"(MATH232),(MATH240)",1,"MATH 232 or MATH 240, with a minimum grade of C-.",['Spring 2024']
CMPT,477,"(CMPT275),(CMPT276)",1,"CMPT 275 or 276, with a minimum grade of C-.",['Fall 2024']
CMPT,478,"(CMPT476),(PHYS416)",2,"CMPT 476 or PHYS 416, with a minimum grade of C-.","['Spring 2025', 'Summer 2024']"
CMPT,479,"(CMPT201),(CMPT300)",5,"CMPT 201 or CMPT 300, with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,489,(CMPT383),3,CMPT 383 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Summer 2024']"
CMPT,493,"(CMPT275),(CMPT276)",4,"CMPT 275 or CMPT 276, at least 80 units, CGPA and UDGPA over 3.0, enrolled in any CS major program. Participation in the practicum is competitive and an application must be submitted to the Undergraduate Chair by a defined due date announced each term.","['Summer 2025', 'Spring 2025', 'Summer 2024', 'Spring 2024']"
CMPT,494,,5,Students must have completed at least 15 units of upper division CMPT courses. Successful Capstone Project Proposal.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,495,(CMPT494),5,CMPT 494 with a minimum grade of C-. CMPT 495 must be taken in the term immediately following the successful completion of CMPT 494 and must be for the same project and faculty supervisor.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,496,,5,"Students must have completed 90 units, including 15 units of upper division CMPT courses, and have a GPA of at least 3.00. The proposal must be submitted to the undergraduate chair at least 15 days in advance of the term. The proposal must be signed by the supervisor(s) and the undergraduate chair.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,497,,5,Submission of a satisfactory capstone project proposal.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,498,,5,"Students must have completed 90 units, including 15 units of upper division CMPT courses, and have a GPA of at least 3.00. The proposal must be submitted to the Undergraduate Chair at least 15 days in advance of the term. The proposal must be signed by the supervisor(s) and the undergraduate chair.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
COGS,110,,5,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
COGS,200,(COGS100),3,COGS 100.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
COGS,300,,1,60 credits.,['Spring 2025']
COGS,310,"(COGS100,COGS200)",1,COGS 100 and 200 (or permission of the instructor).,['Fall 2024']
COGS,315,"(PHIL110),(PHIL210),(PHIL310),(PHIL314),(MACM101),(BUEC232),(STAT270)",2,"One of: PHIL 110, 210, 310, 314, MACM 101, BUEC 232 or STAT 270.","['Fall 2024', 'Spring 2024']"
COGS,490,,1,Approval of cognitive science steering committee after completion of at least 7 upper division courses within the Cognitive Science Honours program requirements.,['Spring 2025']
CRIM,101,,4,,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CRIM,103,,4,PSYC 100 and 102 are recommended.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CRIM,104,,4,SA 150 is recommended.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
CRIM,131,,4,,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CRIM,135,,4,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
CRIM,210,"(CRIM101,CRIM131)",2,CRIM 101 and CRIM 131.,"['Fall 2024', 'Spring 2024']"
CRIM,220,,4,Any 100 division CRIM course is recommended.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CRIM,230,(CRIM135),3,CRIM 135.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CRIM,241,(CRIM131),2,CRIM 131.,"['Fall 2024', 'Spring 2024']"
CRIM,251,(CRIM131),3,CRIM 131.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CRIM,302,(CRIM101),3,CRIM 101.,"['Spring 2025', 'Summer 2024', 'Spring 2024']"
CRIM,303,,2,Any 100 division CRIM course.,"['Fall 2024', 'Spring 2024']"
CRIM,304,,2,Any 100 division CRIM courses.,"['Spring 2025', 'Fall 2024']"
CRIM,311,(CRIM101),2,CRIM 101.,"['Spring 2025', 'Spring 2024']"
CRIM,314,(CRIM101),1,CRIM 101. Recommended: CRIM 131.,['Spring 2024']
CRIM,315,,3,45 units.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CRIM,317,(CRIM101),2,CRIM 101.,"['Fall 2024', 'Summer 2024']"
CRIM,318,(CRIM101),3,CRIM 101.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CRIM,320,"(CRIM101,CRIM120),(CRIM101,CRIM220)",3,CRIM 101; one of CRIM 120 or 220. CRIM 320 may be taken concurrently with CRIM 321.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CRIM,321,"(CRIM101,CRIM120),(CRIM101,CRIM220)",4,CRIM 101; one of CRIM 120 or 220. This course may be taken concurrently with CRIM 320.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CRIM,326,"(CRIM101,CRIM103)",1,CRIM 101 and CRIM 103.,['Spring 2025']
CRIM,330,"(CRIM101,CRIM230)",4,CRIM 101 and 230.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
CRIM,331,"(CRIM101,CRIM230)",1,CRIM 101 and 230.,['Spring 2025']
CRIM,332,"(CRIM101,CRIM135)",2,CRIM 101 and 135.,"['Fall 2024', 'Spring 2024']"
CRIM,335,"(CRIM101,CRIM135)",2,CRIM 101 and CRIM 135.,"['Summer 2025', 'Fall 2024']"
CRIM,338,"(CRIM101,CRIM135)",1,CRIM 101 and 135.,['Spring 2025']
CRIM,340,"(CRIM101,CRIM220)",1,CRIM 101 and 220.,['Spring 2024']
CRIM,343,(CRIM101),2,CRIM 101. Recommended: CRIM 241.,"['Fall 2024', 'Spring 2024']"
CRIM,344,"(CRIM101,CRIM135)",2,CRIM 101 and CRIM 135.,"['Fall 2024', 'Spring 2024']"
CRIM,346,(CRIM101),2,CRIM 101. Recommended: CRIM 241,"['Spring 2025', 'Spring 2024']"
CRIM,350,(CRIM101),1,CRIM 101.,['Spring 2025']
CRIM,351,"(CRIM101,CRIM251)",1,CRIM 101 and 251.,['Spring 2024']
CRIM,352,(CRIM101),1,CRIM 101.,['Fall 2024']
CRIM,355,,3,45 units.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CRIM,356,,3,45 units.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CRIM,357,(CRIM101),1,CRIM 101.,['Fall 2024']
CRIM,358,(CRIM101),1,CRIM 101. Recommended: CRIM 320 or equivalent.,['Spring 2025']
CRIM,370,"(CRIM320,CRIM330)",5,"CRIM 320 and 330, and written application to the school no later than the last day of classes of the preceding term. CRIM 370 and 470 may not be taken concurrently.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CRIM,380,(CRIM101),3,CRIM 101.,"['Summer 2025', 'Fall 2024', 'Summer 2024']"
CRIM,402,(CRIM101),1,CRIM 101.,['Spring 2025']
CRIM,405,(CRIM101),1,CRIM 101.,['Fall 2024']
CRIM,406,(CRIM101),2,CRIM 101.,"['Spring 2025', 'Spring 2024']"
CRIM,410,(CRIM131),1,CRIM 131.,['Fall 2024']
CRIM,416,(CRIM101),3,CRIM 101.,"['Summer 2025', 'Summer 2024', 'Spring 2024']"
CRIM,417,(CRIM101),3,CRIM 101.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CRIM,418,(CRIM101),1,CRIM 101.,['Spring 2024']
CRIM,419,"(CRIM101),(FNST101),(FNST201)",1,CRIM 101 or FNST 101 or 201 or permission of the instructor.,['Fall 2024']
CRIM,429,"(CRIM101),(FNST101),(FNST201)",2,CRIM 101 or FNST 101 or 201 or permission of instructor.,"['Spring 2025', 'Spring 2024']"
CRIM,433,(CRIM101),2,CRIM 101.,"['Fall 2024', 'Spring 2024']"
CRIM,438,(CRIM330),2,CRIM 330 is recommended.,"['Spring 2025', 'Fall 2024']"
CRIM,441,(CRIM220),1,CRIM 220.,['Fall 2024']
CRIM,451,(CRIM101),1,CRIM 101. Recommended: CRIM 355.,['Fall 2024']
CRIM,452,(CRIM101),2,CRIM 101. Recommended: CRIM 357.,"['Spring 2025', 'Spring 2024']"
CRIM,453,(CRIM101),1,CRIM 101.,['Spring 2024']
CRIM,454,(CRIM101),1,CRIM 101.,['Fall 2024']
CRIM,458,(CRIM251),1,CRIM 251.,['Spring 2025']
CRIM,459,(CRIM101),1,CRIM 101.,['Spring 2024']
CRIM,460,(CRIM101),1,CRIM 101.,['Spring 2025']
CRIM,470,"(CRIM320,CRIM321,CRIM330)",5,"CRIM 320, 321 and 330. Written application to the school no later than the last day of classes of the preceding term. Reserved for criminology honours and majors. Recommended: CRIM 370.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CRIM,480,(CRIM380),1,CRlM 380.,['Fall 2024']
CRIM,485,,4,"Permission of the school, and minimum 90 units and CGPA of 2.75. Applicants must be declared criminology majors.","['Summer 2025', 'Spring 2025', 'Summer 2024', 'Spring 2024']"
CRIM,486,"(CRIM320,CRIM321,CRIM485)",5,"Permission of the school, and minimum 90 units and CGPA of 2.75. Applicants must be declared criminology majors and must be enrolled in or have completed CRIM 320, 321 and 485. Corequisite: CRIM 488. A criminal record check may be required dependent on agency.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CRIM,487,(CRIM485),5,"CRIM 485, a minimum of 90 units and CGPA of 2.75, and/or permission of the school. Applicants must be declared criminology majors. Corequisite: CRIM 489. A criminal record check may be required dependent on agency.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CRIM,488,(CRIM485),5,"Permission of the school, CRIM 485, a minimum of 90 units and CGPA of 2.75. Applicants must be declared criminology majors. Corequisite: CRIM 486. A criminal record check may be required dependent on agency.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CRIM,489,(CRIM485),5,"CRIM 485, a minimum of 90 units and CGPA of 2.75, and/or permission of the school. Applicants must be declared criminology majors. Corequisite: CRIM 487. A criminal record check may be required dependent on agency.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CRIM,490,,1,Open only to students who have been admitted to the Criminology Honours Program,['Fall 2024']
CRIM,491,,1,Open only to students who have been admitted to the Criminology Honours Program.,['Fall 2024']
CRIM,499,"(CRIM490,CRIM491)",2,A minimum grade of B in CRIM 490 and 491 is required.,"['Spring 2025', 'Spring 2024']"
DATA,180,,1,Major or honours in Data Science or permission of the program director.,['Fall 2024']
DIAL,393,,1,45 units or permission of instructor. Corequisite: DIAL 394.,['Fall 2024']
DIAL,394,,1,45 units or permission of instructor. Corequisite: DIAL 393.,['Fall 2024']
DIAL,461,,1,45 units and permission of instructor.,['Spring 2024']
EASC,101,,5,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
EASC,103,,4,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
EASC,107,,2,,"['Summer 2024', 'Spring 2024']"
EASC,201,(EASC101),2,EASC 101 with a grade of C- or better. EASC 210 recommended.,"['Spring 2025', 'Spring 2024']"
EASC,202,"(EASC101,CHEM121)",1,EASC 101 and CHEM 121. All with a grade of C- or better.,['Fall 2024']
EASC,204,"(EASC101,PHYS101),(EASC101,PHYS120),(EASC101,PHYS125),(EASC101,PHYS140)",2,"EASC 101, PHYS 101 or 120 or 125 or 140. All with a grade of C- or better.","['Spring 2025', 'Spring 2024']"
EASC,205,"(EASC202,CHEM122,PHYS102,PHYS133),(EASC202,CHEM122,PHYS121,PHYS133),(EASC202,CHEM122,PHYS126,PHYS133),(EASC202,CHEM122,PHYS141)",2,"EASC 202, CHEM 122, and one of: (PHYS 102 and PHYS 133), (PHYS 121 and PHYS 133), (PHYS 126 and PHYS 133) or (PHYS 141). All with a grade of C- or better.","['Spring 2025', 'Spring 2024']"
EASC,206,(EASC101),1,EASC 101 with a grade of C- or better. Corequisite: EASC 210.,['Fall 2024']
