Department,CourseNumber,Prerequisites,Offerings
CA,430,"CA (or FPA) 149, 186, 231, 285 and 10 units in film or cinema studies (CA (or FPA) 135, 136, 137, 186, 235, 236, 216 (or 237), 318 (or 335), 316 (or 337), 416 (or 436)) plus prior approval.",['Fall 2024']
CA,432,CA (or FPA) 430.,"['Spring 2025', 'Spring 2024']"
CA,440,CA 240 or permission of instructor.,['Fall 2024']
CA,445,CA 346.,['Fall 2024']
CA,446,CA 445.,"['Spring 2025', 'Spring 2024']"
CA,449,CA 241 or permission of instructor.,['Fall 2024']
CA,451,"CA 253, CA 355, CA 356, CA 357W.",['Fall 2024']
CA,452,CA 451.,"['Spring 2025', 'Spring 2024']"
CA,460,"CA (or FPA) 361, 367 and status as an approved major in visual art.",['Fall 2024']
CA,461,CA (or FPA) 460 and status as an approved major in visual art.,"['Spring 2025', 'Spring 2024']"
CA,471,CA (or FPA) 370 or 371 and prior approval.,"['Spring 2025', 'Spring 2024']"
CA,485,"One CA studio course at the upper level, a CGPA of 3.0 and an overall average of 3.5 in CA courses.",['Summer 2025']
CA,489,45 CA (or FPA) units.,['Spring 2024']
CENV,302,Admission into Environment Co-operative Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024']"
CENV,303,Readmission into Environment Co-operative Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024']"
CENV,402,Readmission into Environment Co-operative Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024']"
CENV,403,Readmission into Environment Co-operative Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024']"
CENV,404,Readmission into Environment Co-operative Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024']"
CHEM,110,"Pre-Calculus 12 (or equivalent), MATH 100 (may be taken concurrently), or permission of the department. No previous training in chemistry is required for this course.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,111,"Pre-Calculus 12 (or equivalent), MATH 100 (may be taken concurrently), or permission of the department. No previous training in chemistry is required for this course.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
CHEM,120,"Chemistry 12 with a minimum grade of B, or CHEM 110 or 111 with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,121,"Chemistry 12 with a minimum grade of B, or CHEM 109 or 111 with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,122,CHEM 120 or 121 with a minimum grade of C-.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,125,"Chemistry 12 with a minimum grade of C, or CHEM 109 or CHEM 111 with a minimum grade of C-. Corequisite: CHEM 120.","['Summer 2025', 'Fall 2024', 'Summer 2024']"
CHEM,126,CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,180,CHEM 121 with a minimum grade of C-.,['Fall 2024']
CHEM,210,CHEM 122 with a minimum grade of C-.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,216,"CHEM 122 and CHEM 126, both with a minimum grade of C-. Corequisite: CHEM 210.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,230,CHEM 122 with a minimum grade of C-. Students who expect to take further courses in inorganic chemistry should take CHEM 230 concurrently with CHEM 236W.,"['Summer 2025', 'Fall 2024']"
CHEM,260,"CHEM 122, MATH 152, and PHYS 121, 126 or 141 (or PHYS 102 with a minimum grade of B), all with a minimum grade of C-. Recommended: MATH 232.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
CHEM,266,CHEM 260 with a minimum grade of C-.,"['Spring 2025', 'Summer 2024', 'Spring 2024']"
CHEM,280,CHEM 120 or CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122.,['Summer 2024']
CHEM,281,CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,282,CHEM 281 with a minimum grade of C-.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,283,CHEM 281 with a minimum grade of C-.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,284,"CHEM 282 with a minimum of C+, or permission of the Department.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,285,"CHEM 120 and CHEM 125, both with a minimum grade of C-, or CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122 and CHEM 280.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,286,CHEM 281 with a minimum grade of C-. Corequisite: CHEM 282 or 283.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,296,"30 units, including five units of 2nd year CHEM courses. A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,306,"Completion of 28 units in a science program, including first-year calculus, chemistry and physics. Minimum CGPA 2.67 (or permission of co-op co-ordinator).","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,307,CHEM 306 and completion of 42 units toward a BSc degree. Minimum CGPA 2.67 (or permission of co-op co-ordinator).,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,316,"CHEM 210, 216, and 260, all with a minimum grade of C-, or permission of the department.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
CHEM,317,CHEM 316 with a minimum grade of C-.,['Spring 2025']
CHEM,332,"CHEM 230, 236W and 260, all with a minimum grade of C-, or permission of the Department.","['Spring 2025', 'Spring 2024']"
CHEM,336,CHEM 236W with a minimum grade of C-. Corequisite: CHEM 332.,"['Spring 2025', 'Spring 2024']"
CHEM,340,"Completion of 60 units in a science or applied science program, including first year chemistry, physics and calculus. CHEM 230 is strongly recommended.","['Fall 2024', 'Spring 2024']"
CHEM,360,CHEM 260 with a minimum grade of C-. Recommended: MATH 251.,"['Summer 2025', 'Spring 2025', 'Spring 2024']"
CHEM,364,"CHEM 260 or PHYS 285, MATH 232, and MATH 251, all with a minimum grade of C-. Recommended: MATH 260 or MATH 310.",['Fall 2024']
CHEM,372,"CHEM 281 and CHEM 360, both with a minimum grade of C-.",['Spring 2024']
CHEM,380,"(CHEM 282 or 283 or 284) and CHEM 286, both with a minimum grade of C-, or permission of the department.",['Fall 2024']
CHEM,381,CHEM 380 with a minimum grade of C-.,['Spring 2024']
CHEM,391,"CHEM 230 and 282 (or 283), both with a minimum grade of C-, or permission of the department.",['Spring 2025']
CHEM,396,"50 units, including one 3rd year CHEM core course (CHEM 316, 332, 336, 360, 366, 380 or NUSC 341). A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,406,CHEM 307 and completion of 56 units toward a BSc degree. Minimum CGPA of 2.67 (or permission of co-op co-ordinator).,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,407,CHEM 406. Minimum CGPA of 2.67 (or permission of co-op co-ordinator).,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,408,CHEM 407.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,419,CHEM 316 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CHEM,432,CHEM 332 with a minimum grade of C-.,['Spring 2025']
CHEM,439,CHEM 332 with a minimum grade of C-.,"['Fall 2024', 'Spring 2024']"
CHEM,440,CHEM 340 with a minimum grade of C-.,['Spring 2025']
CHEM,442,"CHEM 282 or 283, with a minimum grade of C-.",['Spring 2025']
CHEM,449,"CHEM 210, 260, 283 (or 284), and 12 units of upper division CHEM, all with a minimum grade of C-; or permission of the department.",['Spring 2024']
CHEM,452,"CHEM 380 and MBB 222, both with a minimum grade of C-, or permission of the Department.",['Fall 2024']
CHEM,459,"CHEM 380 with a minimum grade of C-, or permission of the instructor.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
CHEM,462,"CHEM 364 or PHYS 385, with a minimum grade of C-.",['Spring 2025']
CHEM,481,Permission of the Department; knowledge of chemistry at an advanced level. Normally taken after completion of 300-level course requirements.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,482,Permission of the Department. Normally taken during the fourth year of study.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,483,CHEM 481 and permission of the Department. This course cannot be counted towards the 400-level CHEM unit requirement for the Chemistry Majors program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHEM,484,Permission of the Department; knowledge of chemistry at an advanced level. Normally taken after completion of 300-level course requirements.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CHIN,110,CHIN 100 or equivalent.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CHIN,190,"This course is for students of Chinese origin who have native or near native speaking ability in Chinese (Mandarin or other dialects), but limited knowledge of written Chinese.",['Fall 2024']
CHIN,191,"CHIN 190 or equivalent. This course is for students of Chinese origin who have near native speaking ability in Chinese (Mandarin or other dialects), but limited knowledge of written Chinese.","['Spring 2025', 'Spring 2024']"
CHIN,200,CHIN 110 (or CHIN 101) or equivalent.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CHIN,290,"CHIN 191 or equivalent. This course is for students of Chinese origin who have near native speaking ability in Chinese (Mandarin or other dialects), but basic knowledge of written Chinese.",['Fall 2024']
CHIN,291,"CHIN 290 or equivalent. This course is for students of Chinese origin who have near native speaking ability in Chinese (Mandarin or other dialects), but basic knowledge of written Chinese.","['Spring 2025', 'Spring 2024']"
CHIN,330,CHIN 291 or permission of the instructor.,"['Summer 2025', 'Spring 2025', 'Spring 2024']"
CHIN,390,CHIN 291 or permission of the instructor.,['Fall 2024']
CHIN,460,"CHIN 330, CHIN 390 or equivalent.","['Spring 2025', 'Fall 2024']"
CMNS,110,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,130,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,202,Nine CMNS units with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,210,Nine CMNS units with a minimum grade of C-.,"['Fall 2024', 'Spring 2024']"
CMNS,215,Nine CMNS units with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMNS,221,Nine CMNS units with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,226,Nine CMNS units with a minimum grade of C-. CMNS 220 recommended.,"['Summer 2025', 'Spring 2025']"
CMNS,230,Nine CMNS units with a minimum grade of C-.,['Spring 2025']
CMNS,235,Nine CMNS units with a minimum grade of C-.,"['Fall 2024', 'Summer 2024']"
CMNS,240,Nine CMNS units with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,258,,"['Summer 2025', 'Fall 2024']"
CMNS,311,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,312,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Summer 2025', 'Spring 2025']"
CMNS,313,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
CMNS,314,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,315,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMNS,316,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,353,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,362,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,395,Acceptance in the co-operative education program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,396,CMNS 395.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,410,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Fall 2024']
CMNS,424,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Spring 2024']
CMNS,425,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMNS,426,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMNS,431,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Summer 2024']
CMNS,432,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Summer 2024']
CMNS,437,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Summer 2025']
CMNS,440,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Spring 2024']
CMNS,443,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Fall 2024']
CMNS,445,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"['Summer 2025', 'Summer 2024']"
CMNS,446,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,['Fall 2024']
CMNS,452,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,453,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,461,75 units including CMNS 460 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,479,Two upper division CMNS courses with a minimum grade of C- and permission of the instructor.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,480,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,481,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.,['Spring 2024']
CMNS,482,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.,['Spring 2024']
CMNS,486,Depends on topic; published before enrollment.,['Fall 2024']
CMNS,487,Depends on topic; published before enrollment.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMNS,488,Depends on topic; published before enrollment.,"['Summer 2025', 'Fall 2024']"
CMNS,489,75 units and permission of the school.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,494,CMNS 396.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,495,CMNS 494.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,496,CMNS 495.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,497,Students accepted into honours program only.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMNS,498,Successful completion of CMNS 497 with grade of B or higher.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,120,BC Math 12 or equivalent is recommended.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,125,"CMPT 120 or CMPT 130, with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,130,"BC Math 12 (or equivalent, or any of MATH 100, 150, 151, 154, or 157, with a minimum grade of C-).",['Fall 2024']
CMPT,135,CMPT 130 with a minimum grade of C-.,"['Spring 2025', 'Spring 2024']"
CMPT,201,"(CMPT 125 or CMPT 135) and MACM 101, both with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,210,"MACM 101, MATH 152, CMPT 125 or CMPT 135, and (MATH 240 or MATH 232), all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,213,CMPT 225 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,225,"(MACM 101 and (CMPT 125, CMPT 129 or CMPT 135)) or (ENSC 251 and ENSC 252), all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,263,"CMPT 125 or CMPT 135, with a minimum grade of C-.","['Summer 2025', 'Fall 2024', 'Summer 2024']"
CMPT,272,"CMPT 120 or CMPT 130 or CMPT 128, with a minimum grade of C-.",['Fall 2024']
CMPT,276,"One W course, CMPT 225, (MACM 101 or (ENSC 251 and ENSC 252)) and (MATH 151 or MATH 150), all with a minimum grade of C-. MATH 154 or MATH 157 with at least a B+ may be substituted for MATH 151 or MATH 150.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,295,"Either (MACM 101 and (CMPT 125 or CMPT 135)) or (MATH 151 and CMPT 102 for students in an Applied Physics program), all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,300,"CMPT 225 and (CMPT 295 or ENSC 254), all with a minimum grade of C-.","['Summer 2024', 'Spring 2024']"
CMPT,303,"CMPT 225, (CMPT 295 or ENSC 254), and (CMPT 201 or ENSC 351), all with a minimum grade of C-.",['Spring 2025']
CMPT,305,"CMPT 225, (MACM 101 or (ENSC 251 and ENSC 252)) and (STAT 270 or STAT 271), all with a minimum grade of C-.",['Spring 2024']
CMPT,307,"CMPT 225, (MACM 201 or CMPT 210), (MATH 150 or MATH 151), and (MATH 232 or MATH 240), all with a minimum grade of C-. MATH 154 or MATH 157 with a grade of at least B+ may be substituted for MATH 150 or MATH 151.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,310,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,318,CMPT 225 with a minimum grade of C-. Additional prerequisites to be determined by the instructor subject to approval by the undergraduate program chair.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,340,"Completion of 60 units including one of CMPT 125, 126, 128, 135, with a minimum grade of C- or CMPT 102 with a grade of B or higher.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,353,"CMPT 225 and (BUS 232, STAT 201, STAT 203, STAT 205, STAT 270, STAT 271, ENSC 280, MSE 210, or SEE 241), with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,354,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,361,"CMPT 225 and MATH 232 or 240, all with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,362,CMPT 225 with a minimum grade of C-.,['Fall 2024']
CMPT,363,"CMPT 225 and CMPT 263, both with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
CMPT,365,CMPT 225 with a minimum grade of C-.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,371,"CMPT 225 and (MATH 151 or MATH 150), with a minimum grade of C-. MATH 154 or MATH 157 with a grade of at least B+ may be substituted for MATH 151 (MATH 150).","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,372,"CMPT 272 and CMPT 225, both with a minimum grade of C-.",['Spring 2024']
CMPT,373,"CMPT 276 or 275, with a minimum grade of C-.",['Fall 2024']
CMPT,379,"(MACM 201 or CMPT 210), (CMPT 295 or ENSC 215) and CMPT 225, all with a minimum grade of C-.",['Summer 2025']
CMPT,383,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,384,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.",['Spring 2025']
CMPT,403,"CMPT 201 or CMPT 300, with a minimum grade of C-.",['Summer 2024']
CMPT,404,(MACM 201 or CMPT 210) with a minimum grade of C-. CMPT 307 and 308 are recommended.,"['Spring 2025', 'Spring 2024']"
CMPT,405,CMPT 307 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,409,CMPT 307 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,410,"CMPT 310 and MACM 316, both with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,412,"CMPT 361 and MATH 152, both with a minimum grade of C-.","['Spring 2025', 'Fall 2024']"
CMPT,413,"Completion of nine units in Computing Science upper division courses or, in exceptional cases, permission of the instructor.","['Spring 2025', 'Spring 2024']"
CMPT,415,Permission of Instructor and School.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,416,Permission of the department.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,417,CMPT 225 with a minimum grade of C-.,['Fall 2024']
CMPT,419,,"['Spring 2025', 'Spring 2024']"
CMPT,420,"CMPT 410 or CMPT 419 (Machine Learning), with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
CMPT,426,"Students must complete Bridging Online (visit www.sfu.ca/coop/bol for further details) at least two terms before their anticipated co-op placement. Students must then enroll with the co-op program by the second week of the term preceding the work term. Normally, students will have completed a minimum of 45 units by the end of the term of application, CMPT 275 or 276, and have a minimum CGPA of 2.50.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,427,"CMPT 426, CGPA of 2.50.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,428,"CMPT 427, CGPA of 2.50.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,429,"CMPT 428, CGPA of 2.50.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,430,"CMPT 429, CGPA of 2.50.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,431,"(CMPT 201 or CMPT 300) and CMPT 371, both with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,433,"(CMPT 201 or CMPT 300) and CMPT 295, with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
CMPT,441,CMPT 307 with a minimum grade of C-.,['Fall 2024']
CMPT,450,CMPT 295 with a minimum grade of C-.,['Fall 2024']
CMPT,454,"(CMPT 201 or CMPT 300) and CMPT 354, with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,459,CMPT 354 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,461,CMPT 361 with a minimum grade of C-.,"['Spring 2025', 'Spring 2024']"
CMPT,464,"CMPT 361, MACM 316, both with a minimum grade of C-.",['Fall 2024']
CMPT,466,"CMPT 361 and MACM 316, with a minimum grade of C- or permission of the instructor.",['Spring 2025']
CMPT,469,CMPT 361 with a minimum grade of C-.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,471,"CMPT 300 and 371, with a minimum grade of C-.","['Summer 2024', 'Spring 2024']"
CMPT,473,(CMPT 275 or CMPT 276) with a minimum grade of C- and 15 upper division CMPT units.,['Fall 2024']
CMPT,474,CMPT 371 with a minimum grade of C-.,['Spring 2024']
CMPT,475,"CMPT 275 or CMPT 276, (MACM 201 or CMPT 210) , all with a minimum grade of C- and 15 units of upper division courses. Recommended: Co-op experience.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
CMPT,476,"MATH 232 or MATH 240, with a minimum grade of C-.",['Spring 2024']
CMPT,477,"CMPT 275 or 276, with a minimum grade of C-.",['Fall 2024']
CMPT,478,"CMPT 476 or PHYS 416, with a minimum grade of C-.","['Spring 2025', 'Summer 2024']"
CMPT,479,"CMPT 201 or CMPT 300, with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,489,CMPT 383 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Summer 2024']"
CMPT,493,"CMPT 275 or CMPT 276, at least 80 units, CGPA and UDGPA over 3.0, enrolled in any CS major program. Participation in the practicum is competitive and an application must be submitted to the Undergraduate Chair by a defined due date announced each term.","['Summer 2025', 'Spring 2025', 'Summer 2024', 'Spring 2024']"
CMPT,494,Students must have completed at least 15 units of upper division CMPT courses. Successful Capstone Project Proposal.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,495,CMPT 494 with a minimum grade of C-. CMPT 495 must be taken in the term immediately following the successful completion of CMPT 494 and must be for the same project and faculty supervisor.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,496,"Students must have completed 90 units, including 15 units of upper division CMPT courses, and have a GPA of at least 3.00. The proposal must be submitted to the undergraduate chair at least 15 days in advance of the term. The proposal must be signed by the supervisor(s) and the undergraduate chair.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,497,Submission of a satisfactory capstone project proposal.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
CMPT,498,"Students must have completed 90 units, including 15 units of upper division CMPT courses, and have a GPA of at least 3.00. The proposal must be submitted to the Undergraduate Chair at least 15 days in advance of the term. The proposal must be signed by the supervisor(s) and the undergraduate chair.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
COGS,110,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
COGS,200,COGS 100.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
COGS,300,60 credits.,['Spring 2025']
COGS,310,COGS 100 and 200 (or permission of the instructor).,['Fall 2024']
