Department,Course Number,Prerequisites,Offerings,Parsed Prerequisites,Number of Offerings,Simple Prerequisites
CHEM,180,CHEM 121 with a minimum grade of C-.,Fall 2024,(CHEM121),1,CHEM121
CHEM,210,CHEM 122 with a minimum grade of C-.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CHEM122),5,CHEM122
CHEM,216,"CHEM 122 and CHEM 126, both with a minimum grade of C-. Corequisite: CHEM 210.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024","(CHEM122,CHEM126)",5,"CHEM122, CHEM126"
CHEM,230,CHEM 122 with a minimum grade of C-. Students who expect to take further courses in inorganic chemistry should take CHEM 230 concurrently with CHEM 236W.,"Summer 2025, Fall 2024",(CHEM122),2,CHEM122
CHEM,260,"CHEM 122, MATH 152, and PHYS 121, 126 or 141 (or PHYS 102 with a minimum grade of B), all with a minimum grade of C-. Recommended: MATH 232.","Spring 2025, Fall 2024, Spring 2024","(CHEM122,MATH152,PHYS121),(CHEM122,MATH152,PHYS126),(CHEM122,MATH152,PHYS141),(CHEM122,MATH152,PHYS102)",3,"CHEM122, MATH152, PHYS102, PHYS121, PHYS126, PHYS141"
CHEM,266,CHEM 260 with a minimum grade of C-.,"Spring 2025, Summer 2024, Spring 2024",(CHEM260),3,CHEM260
CHEM,280,CHEM 120 or CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122.,Summer 2024,"(CHEM120),(CHEM121)",1,"CHEM120, CHEM121"
CHEM,281,CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CHEM121),5,CHEM121
CHEM,282,CHEM 281 with a minimum grade of C-.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CHEM281),5,CHEM281
CHEM,283,CHEM 281 with a minimum grade of C-.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CHEM281),5,CHEM281
CHEM,284,"CHEM 282 with a minimum of C+, or permission of the Department.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CHEM282),5,CHEM282
CHEM,285,"CHEM 120 and CHEM 125, both with a minimum grade of C-, or CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122 and CHEM 280.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024","(CHEM120,CHEM125),(CHEM121)",5,"CHEM120, CHEM121, CHEM125"
CHEM,286,CHEM 281 with a minimum grade of C-. Corequisite: CHEM 282 or 283.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CHEM281),5,CHEM281
CHEM,296,"30 units, including five units of 2nd year CHEM courses. A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CHEM,306,"Completion of 28 units in a science program, including first-year calculus, chemistry and physics. Minimum CGPA 2.67 (or permission of co-op co-ordinator).","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CHEM,307,CHEM 306 and completion of 42 units toward a BSc degree. Minimum CGPA 2.67 (or permission of co-op co-ordinator).,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CHEM306),5,CHEM306
CHEM,316,"CHEM 210, 216, and 260, all with a minimum grade of C-, or permission of the department.","Spring 2025, Fall 2024, Spring 2024","(CHEM210,CHEM216,CHEM260)",3,"CHEM210, CHEM216, CHEM260"
CHEM,317,CHEM 316 with a minimum grade of C-.,Spring 2025,(CHEM316),1,CHEM316
CHEM,332,"CHEM 230, 236W and 260, all with a minimum grade of C-, or permission of the Department.","Spring 2025, Spring 2024","(CHEM230,CHEM236W,CHEM260)",2,"CHEM230, CHEM236W, CHEM260"
CHEM,336,CHEM 236W with a minimum grade of C-. Corequisite: CHEM 332.,"Spring 2025, Spring 2024",(CHEM236W),2,CHEM236W
CHEM,340,"Completion of 60 units in a science or applied science program, including first year chemistry, physics and calculus. CHEM 230 is strongly recommended.","Fall 2024, Spring 2024",(CHEM230),2,CHEM230
CHEM,360,CHEM 260 with a minimum grade of C-. Recommended: MATH 251.,"Summer 2025, Spring 2025, Spring 2024",(CHEM260),3,CHEM260
CHEM,364,"CHEM 260 or PHYS 285, MATH 232, and MATH 251, all with a minimum grade of C-. Recommended: MATH 260 or MATH 310.",Fall 2024,"(CHEM260,PHYS285,MATH232,MATH251)",1,"CHEM260, MATH232, MATH251, PHYS285"
CHEM,372,"CHEM 281 and CHEM 360, both with a minimum grade of C-.",Spring 2024,"(CHEM281,CHEM360)",1,"CHEM281, CHEM360"
CHEM,380,"(CHEM 282 or 283 or 284) and CHEM 286, both with a minimum grade of C-, or permission of the department.",Fall 2024,"(CHEM282,CHEM286),(CHEM283,CHEM286),(CHEM284,CHEM286)",1,"CHEM282, CHEM283, CHEM284, CHEM286"
CHEM,381,CHEM 380 with a minimum grade of C-.,Spring 2024,(CHEM380),1,CHEM380
CHEM,391,"CHEM 230 and 282 (or 283), both with a minimum grade of C-, or permission of the department.",Spring 2025,"(CHEM230,CHEM282),(CHEM230,CHEM283)",1,"CHEM230, CHEM282, CHEM283"
CHEM,396,"50 units, including one 3rd year CHEM core course (CHEM 316, 332, 336, 360, 366, 380 or NUSC 341). A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024","(CHEM316),(CHEM332),(CHEM336),(CHEM360),(CHEM366),(CHEM380),(NUSC341)",5,"CHEM316, CHEM332, CHEM336, CHEM360, CHEM366, CHEM380, NUSC341"
CHEM,406,CHEM 307 and completion of 56 units toward a BSc degree. Minimum CGPA of 2.67 (or permission of co-op co-ordinator).,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CHEM307),5,CHEM307
CHEM,407,CHEM 406. Minimum CGPA of 2.67 (or permission of co-op co-ordinator).,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CHEM406),5,CHEM406
CHEM,408,CHEM 407.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CHEM407),5,CHEM407
CHEM,419,CHEM 316 with a minimum grade of C-.,"Spring 2025, Fall 2024, Spring 2024",(CHEM316),3,CHEM316
CHEM,432,CHEM 332 with a minimum grade of C-.,Spring 2025,(CHEM332),1,CHEM332
CHEM,439,CHEM 332 with a minimum grade of C-.,"Fall 2024, Spring 2024",(CHEM332),2,CHEM332
CHEM,440,CHEM 340 with a minimum grade of C-.,Spring 2025,(CHEM340),1,CHEM340
CHEM,442,"CHEM 282 or 283, with a minimum grade of C-.",Spring 2025,"(CHEM282),(CHEM283)",1,"CHEM282, CHEM283"
CHEM,449,"CHEM 210, 260, 283 (or 284), and 12 units of upper division CHEM, all with a minimum grade of C-; or permission of the department.",Spring 2024,"(CHEM210,CHEM260,CHEM283),(CHEM210,CHEM260,CHEM284)",1,"CHEM210, CHEM260, CHEM283, CHEM284"
CHEM,452,"CHEM 380 and MBB 222, both with a minimum grade of C-, or permission of the Department.",Fall 2024,"(CHEM380,MBB222)",1,"CHEM380, MBB222"
CHEM,459,"CHEM 380 with a minimum grade of C-, or permission of the instructor.","Spring 2025, Fall 2024, Spring 2024",(CHEM380),3,CHEM380
CHEM,462,"CHEM 364 or PHYS 385, with a minimum grade of C-.",Spring 2025,"(CHEM364),(PHYS385)",1,"CHEM364, PHYS385"
CHEM,481,Permission of the Department; knowledge of chemistry at an advanced level. Normally taken after completion of 300-level course requirements.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CHEM,482,Permission of the Department. Normally taken during the fourth year of study.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CHEM,483,CHEM 481 and permission of the Department. This course cannot be counted towards the 400-level CHEM unit requirement for the Chemistry Majors program.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CHEM481),5,CHEM481
CHEM,484,Permission of the Department; knowledge of chemistry at an advanced level. Normally taken after completion of 300-level course requirements.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CHIN,110,CHIN 100 or equivalent.,"Spring 2025, Fall 2024, Spring 2024",(CHIN100),3,CHIN100
CHIN,190,"This course is for students of Chinese origin who have native or near native speaking ability in Chinese (Mandarin or other dialects), but limited knowledge of written Chinese.",Fall 2024,N/A,1,N/A
CHIN,191,"CHIN 190 or equivalent. This course is for students of Chinese origin who have near native speaking ability in Chinese (Mandarin or other dialects), but limited knowledge of written Chinese.","Spring 2025, Spring 2024",(CHIN190),2,CHIN190
CHIN,200,CHIN 110 (or CHIN 101) or equivalent.,"Spring 2025, Fall 2024, Spring 2024","(CHIN110),(CHIN101)",3,"CHIN101, CHIN110"
CHIN,290,"CHIN 191 or equivalent. This course is for students of Chinese origin who have near native speaking ability in Chinese (Mandarin or other dialects), but basic knowledge of written Chinese.",Fall 2024,(CHIN191),1,CHIN191
CHIN,291,"CHIN 290 or equivalent. This course is for students of Chinese origin who have near native speaking ability in Chinese (Mandarin or other dialects), but basic knowledge of written Chinese.","Spring 2025, Spring 2024",(CHIN290),2,CHIN290
CHIN,330,CHIN 291 or permission of the instructor.,"Summer 2025, Spring 2025, Spring 2024",(CHIN291),3,CHIN291
CHIN,390,CHIN 291 or permission of the instructor.,Fall 2024,(CHIN291),1,CHIN291
CHIN,460,"CHIN 330, CHIN 390 or equivalent.","Spring 2025, Fall 2024","(CHIN330),(CHIN390)",2,"CHIN330, CHIN390"
CMNS,110,N/A,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CMNS,130,N/A,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CMNS,202,Nine CMNS units with a minimum grade of C-.,"Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,4,N/A
CMNS,210,Nine CMNS units with a minimum grade of C-.,"Fall 2024, Spring 2024",N/A,2,N/A
CMNS,215,Nine CMNS units with a minimum grade of C-.,"Spring 2025, Fall 2024, Spring 2024",N/A,3,N/A
CMNS,221,Nine CMNS units with a minimum grade of C-.,"Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,4,N/A
CMNS,226,Nine CMNS units with a minimum grade of C-. CMNS 220 recommended.,"Summer 2025, Spring 2025",(CMNS220),2,CMNS220
CMNS,230,Nine CMNS units with a minimum grade of C-.,Spring 2025,N/A,1,N/A
CMNS,235,Nine CMNS units with a minimum grade of C-.,"Fall 2024, Summer 2024",N/A,2,N/A
CMNS,240,Nine CMNS units with a minimum grade of C-.,"Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,4,N/A
CMNS,258,N/A,"Summer 2025, Fall 2024",N/A,2,N/A
CMNS,311,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CMNS,312,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"Summer 2025, Spring 2025",N/A,2,N/A
CMNS,313,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"Summer 2025, Spring 2025, Fall 2024, Spring 2024",N/A,4,N/A
CMNS,314,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,4,N/A
CMNS,315,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"Spring 2025, Fall 2024, Spring 2024",N/A,3,N/A
CMNS,316,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CMNS,353,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,4,N/A
CMNS,362,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,"Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,4,N/A
CMNS,395,Acceptance in the co-operative education program.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CMNS,396,CMNS 395.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CMNS395),5,CMNS395
CMNS,410,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,Fall 2024,N/A,1,N/A
CMNS,424,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,Spring 2024,N/A,1,N/A
CMNS,425,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"Spring 2025, Fall 2024, Spring 2024",N/A,3,N/A
CMNS,426,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"Spring 2025, Fall 2024, Spring 2024",N/A,3,N/A
CMNS,431,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,Summer 2024,N/A,1,N/A
CMNS,432,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,Summer 2024,N/A,1,N/A
CMNS,437,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,Summer 2025,N/A,1,N/A
CMNS,440,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,Spring 2024,N/A,1,N/A
CMNS,443,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,Fall 2024,N/A,1,N/A
CMNS,445,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"Summer 2025, Summer 2024",N/A,2,N/A
CMNS,446,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,Fall 2024,N/A,1,N/A
CMNS,452,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,4,N/A
CMNS,453,26 CMNS units with a minimum grade of C- or 60 units with a minimum CGPA of 2.00.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CMNS,461,75 units including CMNS 460 with a minimum grade of C-.,"Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CMNS460),4,CMNS460
CMNS,479,Two upper division CMNS courses with a minimum grade of C- and permission of the instructor.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CMNS,480,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CMNS,481,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.,Spring 2024,N/A,1,N/A
CMNS,482,Two upper division CMNS courses with a minimum grade of C- and consent of instructor.,Spring 2024,N/A,1,N/A
CMNS,486,Depends on topic; published before enrollment.,Fall 2024,N/A,1,N/A
CMNS,487,Depends on topic; published before enrollment.,"Spring 2025, Fall 2024, Spring 2024",N/A,3,N/A
CMNS,488,Depends on topic; published before enrollment.,"Summer 2025, Fall 2024",N/A,2,N/A
CMNS,489,75 units and permission of the school.,"Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,4,N/A
CMNS,494,CMNS 396.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CMNS396),5,CMNS396
CMNS,495,CMNS 494.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CMNS494),5,CMNS494
CMNS,496,CMNS 495.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CMNS495),5,CMNS495
CMNS,497,Students accepted into honours program only.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CMNS,498,Successful completion of CMNS 497 with grade of B or higher.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CMNS497),5,CMNS497
CMPT,120,BC Math 12 or equivalent is recommended.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CMPT,125,"CMPT 120 or CMPT 130, with a minimum grade of C-.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024","(CMPT120),(CMPT130)",5,"CMPT120, CMPT130"
CMPT,130,"BC Math 12 (or equivalent, or any of MATH 100, 150, 151, 154, or 157, with a minimum grade of C-).",Fall 2024,"(MATH100),(MATH150),(MATH151),(MATH154),(MATH157)",1,"MATH100, MATH150, MATH151, MATH154, MATH157"
CMPT,135,CMPT 130 with a minimum grade of C-.,"Spring 2025, Spring 2024",(CMPT130),2,CMPT130
CMPT,201,"(CMPT 125 or CMPT 135) and MACM 101, both with a minimum grade of C-.","Summer 2025, Spring 2025, Fall 2024, Spring 2024","(CMPT125,MACM101),(CMPT135,MACM101)",4,"CMPT125, CMPT135, MACM101"
CMPT,210,"MACM 101, MATH 152, CMPT 125 or CMPT 135, and (MATH 240 or MATH 232), all with a minimum grade of C-.","Summer 2025, Spring 2025, Fall 2024, Spring 2024","(MACM101,MATH152,CMPT125,MATH240),(MACM101,MATH152,CMPT125,MATH232),(MACM101,MATH152,CMPT135,MATH240),(MACM101,MATH152,CMPT135,MATH232)",4,"CMPT125, CMPT135, MACM101, MATH152, MATH232, MATH240"
CMPT,213,CMPT 225 with a minimum grade of C-.,"Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CMPT225),4,CMPT225
CMPT,225,"(MACM 101 and (CMPT 125, CMPT 129 or CMPT 135)) or (ENSC 251 and ENSC 252), all with a minimum grade of C-.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024","(MACM101,CMPT125),(MACM101,CMPT129),(MACM101,CMPT135),(ENSC251,ENSC252)",5,"CMPT125, CMPT129, CMPT135, ENSC251, ENSC252, MACM101"
CMPT,263,"CMPT 125 or CMPT 135, with a minimum grade of C-.","Summer 2025, Fall 2024, Summer 2024","(CMPT125),(CMPT135)",3,"CMPT125, CMPT135"
CMPT,272,"CMPT 120 or CMPT 130 or CMPT 128, with a minimum grade of C-.",Fall 2024,"(CMPT120),(CMPT130),(CMPT128)",1,"CMPT120, CMPT128, CMPT130"
CMPT,276,"One W course, CMPT 225, (MACM 101 or (ENSC 251 and ENSC 252)) and (MATH 151 or MATH 150), all with a minimum grade of C-. MATH 154 or MATH 157 with at least a B+ may be substituted for MATH 151 or MATH 150.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024","(CMPT225,MACM101,MATH150),(CMPT225,MACM101,MATH151),(CMPT225,ENSC251,ENSC252,MATH150),(CMPT225,ENSC251,ENSC252,MATH151)",5,"CMPT225, ENSC251, ENSC252, MACM101, MATH150, MATH151"
CMPT,295,"Either (MACM 101 and (CMPT 125 or CMPT 135)) or (MATH 151 and CMPT 102 for students in an Applied Physics program), all with a minimum grade of C-.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024","(MACM101,CMPT125),(MACM101,CMPT135),(MATH151,CMPT102)",5,"CMPT102, CMPT125, CMPT135, MACM101, MATH151"
CMPT,300,"CMPT 225 and (CMPT 295 or ENSC 254), all with a minimum grade of C-.","Summer 2024, Spring 2024","(CMPT225,CMPT295),(CMPT225,ENSC254)",2,"CMPT225, CMPT295, ENSC254"
CMPT,303,"CMPT 225, (CMPT 295 or ENSC 254), and (CMPT 201 or ENSC 351), all with a minimum grade of C-.",Spring 2025,"(CMPT225,CMPT295,CMPT201),(CMPT225,CMPT295,ENSC351),(CMPT225,ENSC254,CMPT201),(CMPT225,ENSC254,ENSC351)",1,"CMPT201, CMPT225, CMPT295, ENSC254, ENSC351"
CMPT,305,"CMPT 225, (MACM 101 or (ENSC 251 and ENSC 252)) and (STAT 270 or STAT 271), all with a minimum grade of C-.",Spring 2024,"(CMPT225,MACM101,STAT270),(CMPT225,MACM101,STAT271),(CMPT225,ENSC251,ENSC252,STAT270),(CMPT225,ENSC251,ENSC252,STAT271)",1,"CMPT225, ENSC251, ENSC252, MACM101, STAT270, STAT271"
CMPT,307,"CMPT 225, (MACM 201 or CMPT 210), (MATH 150 or MATH 151), and (MATH 232 or MATH 240), all with a minimum grade of C-. MATH 154 or MATH 157 with a grade of at least B+ may be substituted for MATH 150 or MATH 151.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024","(CMPT225,MACM201,MATH150,MATH232),(CMPT225,MACM201,MATH150,MATH240),(CMPT225,MACM201,MATH151,MATH232),(CMPT225,MACM201,MATH151,MATH240),(CMPT225,CMPT210,MATH150,MATH232),(CMPT225,CMPT210,MATH150,MATH240),(CMPT225,CMPT210,MATH151,MATH232),(CMPT225,CMPT210,MATH151,MATH240)",5,"CMPT210, CMPT225, MACM201, MATH150, MATH151, MATH232, MATH240"
CMPT,310,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024","(CMPT225,MACM101),(CMPT225,ENSC251,ENSC252)",5,"CMPT225, ENSC251, ENSC252, MACM101"
CMPT,318,CMPT 225 with a minimum grade of C-. Additional prerequisites to be determined by the instructor subject to approval by the undergraduate program chair.,"Spring 2025, Fall 2024, Spring 2024",(CMPT225),3,CMPT225
CMPT,340,"Completion of 60 units including one of CMPT 125, 126, 128, 135, with a minimum grade of C- or CMPT 102 with a grade of B or higher.","Spring 2025, Fall 2024, Spring 2024","(CMPT125),(CMPT126),(CMPT128),(CMPT135),(CMPT102)",3,"CMPT102, CMPT125, CMPT126, CMPT128, CMPT135"
CMPT,353,"CMPT 225 and (BUS 232, STAT 201, STAT 203, STAT 205, STAT 270, STAT 271, ENSC 280, MSE 210, or SEE 241), with a minimum grade of C-.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024","(CMPT225,BUS232),(CMPT225,STAT201),(CMPT225,STAT203),(CMPT225,STAT205),(CMPT225,STAT270),(CMPT225,STAT271),(CMPT225,ENSC280),(CMPT225,MSE210),(CMPT225,SEE241)",5,"BUS232, CMPT225, ENSC280, MSE210, SEE241, STAT201, STAT203, STAT205, STAT270, STAT271"
CMPT,354,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024","(CMPT225,MACM101),(CMPT225,ENSC251,ENSC252)",5,"CMPT225, ENSC251, ENSC252, MACM101"
CMPT,361,"CMPT 225 and MATH 232 or 240, all with a minimum grade of C-.","Spring 2025, Fall 2024, Spring 2024","(CMPT225,MATH232),(CMPT225,MATH240)",3,"CMPT225, MATH232, MATH240"
CMPT,362,CMPT 225 with a minimum grade of C-.,Fall 2024,(CMPT225),1,CMPT225
CMPT,363,"CMPT 225 and CMPT 263, both with a minimum grade of C-.","Spring 2025, Spring 2024","(CMPT225,CMPT263)",2,"CMPT225, CMPT263"
CMPT,365,CMPT 225 with a minimum grade of C-.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CMPT225),5,CMPT225
CMPT,371,"CMPT 225 and (MATH 151 or MATH 150), with a minimum grade of C-. MATH 154 or MATH 157 with a grade of at least B+ may be substituted for MATH 151 (MATH 150).","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024","(CMPT225,MATH150),(CMPT225,MATH151)",5,"CMPT225, MATH150, MATH151"
CMPT,372,"CMPT 272 and CMPT 225, both with a minimum grade of C-.",Spring 2024,"(CMPT225,CMPT272)",1,"CMPT225, CMPT272"
CMPT,373,"CMPT 276 or 275, with a minimum grade of C-.",Fall 2024,"(CMPT276),(CMPT275)",1,"CMPT275, CMPT276"
CMPT,379,"(MACM 201 or CMPT 210), (CMPT 295 or ENSC 215) and CMPT 225, all with a minimum grade of C-.",Summer 2025,"(MACM201,CMPT295,CMPT225),(MACM201,ENSC215,CMPT225),(CMPT210,CMPT295,CMPT225),(CMPT210,ENSC215,CMPT225)",1,"CMPT210, CMPT225, CMPT295, ENSC215, MACM201"
CMPT,383,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.","Summer 2025, Spring 2025, Fall 2024, Spring 2024","(CMPT225,MACM101),(CMPT225,ENSC251,ENSC252)",4,"CMPT225, ENSC251, ENSC252, MACM101"
CMPT,384,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.",Spring 2025,"(CMPT225,MACM101),(CMPT225,ENSC251,ENSC252)",1,"CMPT225, ENSC251, ENSC252, MACM101"
CMPT,403,"CMPT 201 or CMPT 300, with a minimum grade of C-.",Summer 2024,"(CMPT201),(CMPT300)",1,"CMPT201, CMPT300"
CMPT,404,(MACM 201 or CMPT 210) with a minimum grade of C-. CMPT 307 and 308 are recommended.,"Spring 2025, Spring 2024","(MACM201),(CMPT210)",2,"CMPT210, MACM201"
CMPT,405,CMPT 307 with a minimum grade of C-.,"Spring 2025, Fall 2024, Spring 2024",(CMPT307),3,CMPT307
CMPT,409,CMPT 307 with a minimum grade of C-.,"Spring 2025, Fall 2024, Spring 2024",(CMPT307),3,CMPT307
CMPT,410,"CMPT 310 and MACM 316, both with a minimum grade of C-.","Spring 2025, Fall 2024, Spring 2024","(CMPT310,MACM316)",3,"CMPT310, MACM316"
CMPT,412,"CMPT 361 and MATH 152, both with a minimum grade of C-.","Spring 2025, Fall 2024","(CMPT361,MATH152)",2,"CMPT361, MATH152"
CMPT,413,"Completion of nine units in Computing Science upper division courses or, in exceptional cases, permission of the instructor.","Spring 2025, Spring 2024",N/A,2,N/A
CMPT,415,Permission of Instructor and School.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CMPT,416,Permission of the department.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
CMPT,417,CMPT 225 with a minimum grade of C-.,Fall 2024,(CMPT225),1,CMPT225
CMPT,419,N/A,"Spring 2025, Spring 2024",N/A,2,N/A
CMPT,420,"CMPT 410 or CMPT 419 (Machine Learning), with a minimum grade of C-.","Spring 2025, Spring 2024","(CMPT410),(CMPT419)",2,"CMPT410, CMPT419"
CMPT,426,"Students must complete Bridging Online (visit www.sfu.ca/coop/bol for further details) at least two terms before their anticipated co-op placement. Students must then enroll with the co-op program by the second week of the term preceding the work term. Normally, students will have completed a minimum of 45 units by the end of the term of application, CMPT 275 or 276, and have a minimum CGPA of 2.50.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024","(CMPT275),(CMPT276)",5,"CMPT275, CMPT276"
CMPT,427,"CMPT 426, CGPA of 2.50.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CMPT426),5,CMPT426
CMPT,428,"CMPT 427, CGPA of 2.50.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CMPT427),5,CMPT427
CMPT,429,"CMPT 428, CGPA of 2.50.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CMPT428),5,CMPT428
CMPT,430,"CMPT 429, CGPA of 2.50.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(CMPT429),5,CMPT429
CMPT,431,"(CMPT 201 or CMPT 300) and CMPT 371, both with a minimum grade of C-.","Spring 2025, Fall 2024, Spring 2024","(CMPT201,CMPT371),(CMPT300,CMPT371)",3,"CMPT201, CMPT300, CMPT371"
CMPT,433,"(CMPT 201 or CMPT 300) and CMPT 295, with a minimum grade of C-.","Spring 2025, Spring 2024","(CMPT201,CMPT295),(CMPT300,CMPT295)",2,"CMPT201, CMPT295, CMPT300"
CMPT,441,CMPT 307 with a minimum grade of C-.,Fall 2024,(CMPT307),1,CMPT307
